tipo_celular,module_size,MIA3_MM,MIA3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.141,15.0,8,1,12.5,2.91 (NA-NA),7,87.5,1.04 (0.29-1.79)
T cells 18,518,0.277,95.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656,0.145,91.0,136,10,7.35,3.89 (3.43-4.35),126,92.65,3.15 (2.86-3.44)
oligodendrocyte progenitor cells 7,4285,0.138,54.0,353,40,11.33,2.63 (2.17-3.09),313,88.67,4.10 (3.91-4.29)
GABA neurons expressing GLU receptors 22,823,0.219,75.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,229,0.164,28.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,101,0.214,46.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,357,0.17,54.0,237,7,2.95,4.15 (3.28-5.02),230,97.05,4.42 (4.18-4.66)
endothelial cells 9,338,0.086,22.0,191,4,2.09,2.91 (1.99-3.82),187,97.91,3.91 (3.68-4.14)
oligodendrocytes 20,221,0.026,3.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,3052,0.136,47.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,520,0.105,45.0,288,27,9.38,3.44 (2.93-3.95),261,90.62,4.27 (4.06-4.49)
oligodendrocyte progenitor cells 12,3303,0.045,11.0,276,25,9.06,2.80 (2.32-3.28),251,90.94,3.64 (3.40-3.87)
oligodendrocytes 10,806,0.197,63.0,261,15,5.75,3.46 (2.56-4.35),246,94.25,4.44 (4.19-4.69)
connective tissue cells 21,139,0.216,9.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,443,0.257,94.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,313,0.133,13.0,291,22,7.56,3.17 (2.61-3.74),269,92.44,4.45 (4.22-4.69)
da neurons 6,518,0.224,98.0,122,31,25.41,2.53 (2.07-2.99),91,74.59,4.65 (4.20-5.10)
astrocytes microglia 23,131,0.299,53.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.146,54.0,104,17,16.35,2.78 (2.08-3.48),87,83.65,2.88 (2.57-3.19)
oligodendrocytes 0,613,0.138,45.0,127,8,6.3,3.38 (2.99-3.76),119,93.7,3.01 (2.56-3.47)
microglia 1,1615,0.109,50.0,161,16,9.94,1.46 (0.94-1.97),145,90.06,3.52 (3.26-3.79)
oligodendrocytes 3,457,0.063,15.0,345,22,6.38,3.14 (2.61-3.66),323,93.62,4.38 (4.17-4.60)
oligodendrocytes 2,921,0.164,88.0,200,11,5.5,3.26 (2.66-3.86),189,94.5,3.65 (3.37-3.93)
