tipo_celular,module_size,AKIRIN1_MM,AKIRIN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.25,73.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,727,0.122,33.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656,0.121,59.0,136,5,3.68,1.58 (1.21-1.95),131,96.32,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285,0.128,39.0,353,60,17.0,2.13 (1.86-2.39),293,83.0,4.38 (4.20-4.56)
GABA neurons expressing GLU receptors 22,487,0.103,7.0,73,6,8.22,2.08 (0.87-3.29),67,91.78,2.83 (2.42-3.23)
GLU like neurons 17,1316,0.078,11.0,101,2,1.98,2.49 (1.77-3.20),99,98.02,3.07 (2.71-3.42)
da like neurons 11,1220,0.098,14.0,410,6,1.46,2.06 (1.37-2.76),404,98.54,4.29 (4.11-4.48)
GABA neurons expressing GABA receptors 13,80,0.151,33.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385,0.099,46.0,275,51,18.55,2.07 (1.81-2.34),224,81.45,4.64 (4.38-4.90)
oligodendrocytes 20,221,0.08,8.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2402,0.135,19.0,455,23,5.05,1.69 (1.23-2.15),432,94.95,4.54 (4.36-4.72)
astrocytes 8,771,0.057,17.0,48,4,8.33,4.95 (2.23-7.67),44,91.67,4.37 (3.58-5.16)
oligodendrocyte progenitor cells 12,3303,0.145,98.0,276,51,18.48,2.30 (2.02-2.58),225,81.52,3.93 (3.69-4.17)
oligodendrocytes 10,806,0.039,4.0,261,11,4.21,3.62 (2.57-4.66),250,95.79,4.41 (4.16-4.66)
connective tissue cells 21,114,0.354,86.0,11,3,27.27,2.25 (-0.64-5.14),8,72.73,1.33 (0.31-2.35)
astrocytes 15,1401,0.073,37.0,96,13,13.54,3.57 (2.60-4.53),83,86.46,3.62 (3.12-4.13)
oligodendrocytes 16,65,0.062,0.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.082,15.0,124,2,1.61,1.26 (-0.42-2.94),122,98.39,4.25 (3.86-4.64)
astrocytes microglia 23,46,0.294,32.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.155,70.0,104,25,24.04,2.04 (1.55-2.54),79,75.96,3.15 (2.84-3.46)
oligodendrocytes 0,613,0.195,88.0,127,17,13.39,2.43 (1.98-2.87),110,86.61,3.22 (2.71-3.72)
microglia 1,958,0.138,83.0,290,14,4.83,1.90 (1.53-2.28),276,95.17,3.94 (3.71-4.17)
oligodendrocytes 3,743,0.094,66.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921,0.197,99.0,200,8,4.0,2.91 (1.90-3.92),192,96.0,3.65 (3.38-3.93)
