tipo_celular,module_size,MAPK1_MM,MAPK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.164,44.0,73,13,17.81,3.84 (3.53-4.16),60,82.19,3.49 (3.06-3.92)
T cells 18,282,0.068,5.0,241,9,3.73,4.25 (2.77-5.74),232,96.27,4.05 (3.79-4.30)
astrocytes 5,499,0.063,0.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285,0.129,40.0,353,70,19.83,2.49 (2.18-2.80),283,80.17,4.36 (4.18-4.55)
GABA neurons expressing GLU receptors 22,487,0.248,62.0,73,5,6.85,2.11 (0.84-3.38),68,93.15,2.81 (2.41-3.21)
GLU like neurons 17,229,0.176,34.0,22,3,13.64,4.03 (4.03-4.03),19,86.36,2.28 (1.64-2.92)
da like neurons 11,853,0.09,18.0,133,38,28.57,2.19 (1.79-2.58),95,71.43,3.80 (3.42-4.17)
GABA neurons expressing GABA receptors 13,200,0.312,97.0,34,2,5.88,3.53 (3.29-3.77),32,94.12,3.92 (2.96-4.88)
endothelial cells 9,1653,0.134,55.0,297,12,4.04,4.44 (3.21-5.66),285,95.96,3.65 (3.44-3.86)
oligodendrocytes 20,358,0.01,1.0,31,2,6.45,2.85 (2.75-2.95),29,93.55,2.32 (1.86-2.78)
GABA like neurons 14,1300,0.109,11.0,306,64,20.92,3.50 (3.13-3.87),242,79.08,5.70 (5.42-5.98)
astrocytes 8,1266,0.094,63.0,66,38,57.58,2.75 (2.23-3.28),28,42.42,4.04 (3.48-4.59)
oligodendrocyte progenitor cells 12,3303,0.121,90.0,276,64,23.19,2.61 (2.32-2.91),212,76.81,3.92 (3.66-4.18)
oligodendrocytes 10,735,0.094,49.0,277,8,2.89,6.28 (4.80-7.77),269,97.11,3.85 (3.60-4.09)
connective tissue cells 21,111,0.279,45.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367,0.054,13.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05)
oligodendrocytes 16,69,0.253,80.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,307,0.188,87.0,95,7,7.37,4.41 (3.75-5.07),88,92.63,4.88 (4.41-5.36)
astrocytes microglia 23,190,0.28,59.0,7,3,42.86,3.92 (3.20-4.64),4,57.14,5.76 (4.31-7.21)
astrocytes 4,752,0.133,21.0,96,22,22.92,3.35 (2.85-3.84),74,77.08,3.27 (2.86-3.68)
oligodendrocytes 0,1186,0.151,62.0,300,34,11.33,4.22 (3.78-4.65),266,88.67,3.74 (3.51-3.96)
microglia 1,958,0.1,32.0,290,32,11.03,3.39 (2.74-4.04),258,88.97,3.88 (3.64-4.13)
oligodendrocytes 3,854,0.059,13.0,76,8,10.53,3.40 (2.43-4.37),68,89.47,2.70 (2.35-3.05)
oligodendrocytes 2,804,0.124,17.0,84,20,23.81,2.93 (2.33-3.54),64,76.19,2.59 (2.19-2.99)
