tipo_celular,module_size,NDUFS1_MM,NDUFS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.148,10.0,21,10,47.62,1.29 (0.71-1.86),11,52.38,3.32 (2.64-3.99)
T cells 18,518,0.081,4.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,932,0.097,32.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285,0.127,37.0,353,27,7.65,1.56 (1.22-1.89),326,92.35,4.15 (3.97-4.32)
GABA neurons expressing GLU receptors 22,848,0.227,56.0,262,17,6.49,2.74 (2.08-3.40),245,93.51,4.30 (4.05-4.55)
GLU like neurons 17,795,0.127,48.0,80,1,1.25,5.15 (NA-NA),79,98.75,5.69 (5.27-6.11)
da like neurons 11,132,0.195,39.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,266,0.251,87.0,118,2,1.69,4.03 (1.85-6.21),116,98.31,4.75 (4.39-5.11)
endothelial cells 9,586,0.135,31.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,279,0.11,13.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2402,0.111,12.0,455,85,18.68,3.46 (3.12-3.79),370,81.32,4.62 (4.41-4.83)
astrocytes 8,520,0.04,7.0,288,50,17.36,3.63 (3.36-3.91),238,82.64,4.33 (4.09-4.57)
oligodendrocyte progenitor cells 12,3303,0.165,100.0,276,18,6.52,2.16 (1.74-2.59),258,93.48,3.67 (3.44-3.90)
oligodendrocytes 10,735,0.159,79.0,277,21,7.58,3.93 (3.81-4.04),256,92.42,3.89 (3.62-4.16)
connective tissue cells 21,102,0.238,20.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768,0.159,94.0,105,14,13.33,1.59 (1.21-1.96),91,86.67,3.49 (3.13-3.84)
oligodendrocytes 16,313,0.191,38.0,291,20,6.87,3.07 (2.61-3.52),271,93.13,4.44 (4.21-4.68)
da neurons 6,307,0.11,40.0,95,2,2.11,4.03 (1.85-6.21),93,97.89,4.87 (4.42-5.31)
astrocytes microglia 23,53,0.306,50.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.148,44.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44)
oligodendrocytes 0,1186,0.145,50.0,300,1,0.33,2.89 (NA-NA),299,99.67,3.80 (3.59-4.00)
microglia 1,1615,0.086,16.0,161,20,12.42,1.29 (0.93-1.65),141,87.58,3.63 (3.37-3.89)
oligodendrocytes 3,681,0.072,28.0,87,12,13.79,1.42 (1.01-1.84),75,86.21,2.79 (2.50-3.07)
oligodendrocytes 2,921,0.142,59.0,200,6,3.0,2.60 (1.90-3.30),194,97.0,3.66 (3.39-3.93)
