tipo_celular,module_size,BCLAF1_MM,BCLAF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.175,26.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,610,0.145,45.0,98,40,40.82,2.07 (1.70-2.45),58,59.18,3.91 (3.57-4.25)
astrocytes 5,1141,0.184,97.0,166,44,26.51,2.44 (2.10-2.78),122,73.49,3.81 (3.51-4.11)
oligodendrocyte progenitor cells 7,4285,0.162,88.0,353,63,17.85,2.24 (1.96-2.53),290,82.15,4.37 (4.18-4.55)
GABA neurons expressing GLU receptors 22,703,0.173,43.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93)
GLU like neurons 17,685,0.053,4.0,135,43,31.85,2.66 (2.25-3.07),92,68.15,3.51 (3.10-3.92)
da like neurons 11,71,0.201,28.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,238,0.13,29.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,385,0.113,58.0,275,70,25.45,2.52 (2.21-2.83),205,74.55,4.75 (4.46-5.03)
oligodendrocytes 20,322,0.075,25.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052,0.134,45.0,125,1,0.8,3.04 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,262,0.143,53.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303,0.096,71.0,276,51,18.48,2.21 (1.95-2.47),225,81.52,3.96 (3.72-4.20)
oligodendrocytes 10,735,0.09,46.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,118,0.198,3.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,458,0.101,55.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,123,0.156,15.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,300,0.095,16.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,54,0.268,25.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37)
astrocytes 4,752,0.162,63.0,96,14,14.58,2.92 (2.56-3.29),82,85.42,3.37 (2.98-3.76)
oligodendrocytes 0,1186,0.19,97.0,300,17,5.67,3.49 (3.22-3.77),283,94.33,3.82 (3.60-4.03)
microglia 1,958,0.128,73.0,290,14,4.83,2.62 (1.95-3.28),276,95.17,3.89 (3.66-4.13)
oligodendrocytes 3,357,0.1,55.0,127,2,1.57,2.33 (NA-NA),125,98.43,3.13 (2.79-3.46)
oligodendrocytes 2,921,0.171,91.0,200,6,3.0,2.59 (1.74-3.44),194,97.0,3.65 (3.38-3.92)
