tipo_celular,module_size,RHOA_MM,RHOA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.221,72.0,73,13,17.81,3.86 (3.47-4.25),60,82.19,3.50 (3.08-3.91)
T cells 18,506,0.157,39.0,225,44,19.56,3.28 (2.80-3.75),181,80.44,3.70 (3.41-3.98)
astrocytes 5,1656,0.094,18.0,136,7,5.15,3.14 (2.34-3.95),129,94.85,3.21 (2.93-3.50)
oligodendrocyte progenitor cells 7,628,0.17,53.0,164,19,11.59,3.89 (3.33-4.45),145,88.41,4.11 (3.75-4.47)
GABA neurons expressing GLU receptors 22,848,0.123,12.0,262,67,25.57,3.44 (3.04-3.84),195,74.43,4.41 (4.12-4.71)
GLU like neurons 17,685,0.069,11.0,135,46,34.07,2.52 (2.07-2.98),89,65.93,3.45 (3.08-3.82)
da like neurons 11,1220,0.13,29.0,410,54,13.17,3.29 (2.89-3.68),356,86.83,4.36 (4.16-4.56)
GABA neurons expressing GABA receptors 13,417,0.115,15.0,213,30,14.08,1.98 (1.37-2.59),183,85.92,4.05 (3.81-4.28)
endothelial cells 9,916,0.282,68.0,302,19,6.29,3.01 (2.31-3.70),283,93.71,4.05 (3.81-4.28)
oligodendrocytes 20,938,0.264,91.0,169,31,18.34,2.92 (2.37-3.48),138,81.66,3.57 (3.33-3.80)
GABA like neurons 14,2402,0.278,61.0,455,60,13.19,2.83 (2.31-3.35),395,86.81,4.55 (4.36-4.74)
astrocytes 8,520,0.049,13.0,288,49,17.01,3.55 (3.14-3.97),239,82.99,4.28 (4.06-4.50)
oligodendrocyte progenitor cells 12,1049,0.102,56.0,235,19,8.09,3.51 (3.07-3.95),216,91.91,3.85 (3.60-4.09)
oligodendrocytes 10,483,0.233,76.0,129,7,5.43,4.59 (3.82-5.37),122,94.57,3.37 (2.96-3.77)
connective tissue cells 21,301,0.363,48.0,158,26,16.46,4.45 (3.53-5.36),132,83.54,4.20 (3.80-4.60)
astrocytes 15,1401,0.097,61.0,96,17,17.71,4.00 (3.24-4.77),79,82.29,3.52 (3.00-4.05)
oligodendrocytes 16,155,0.135,4.0,8,3,37.5,2.05 (-1.04-5.13),5,62.5,3.72 (-3.06-10.50)
da neurons 6,228,0.088,37.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,39,0.254,19.0,3,0,0.0,NA,3,100.0,7.74 (6.69-8.80)
astrocytes 4,1807,0.126,19.0,104,19,18.27,2.26 (1.67-2.85),85,81.73,3.01 (2.70-3.32)
oligodendrocytes 0,546,0.192,63.0,252,50,19.84,2.89 (2.33-3.45),202,80.16,4.39 (4.13-4.65)
microglia 1,406,0.14,33.0,278,7,2.52,4.49 (3.70-5.27),271,97.48,4.36 (4.08-4.64)
oligodendrocytes 3,303,0.11,39.0,154,3,1.95,5.39 (4.03-6.75),151,98.05,3.59 (3.27-3.91)
oligodendrocytes 2,526,0.328,70.0,213,4,1.88,5.78 (2.22-9.33),209,98.12,3.96 (3.68-4.23)
