tipo_celular,module_size,EXOC7_MM,EXOC7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.229,64.0,21,4,19.05,0.95 (-0.23-2.12),17,80.95,2.64 (2.00-3.28)
T cells 18,477,0.167,54.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,932,0.082,11.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.116,23.0,353,36,10.2,2.83 (2.16-3.49),317,89.8,4.04 (3.85-4.22)
GABA neurons expressing GLU receptors 22,848,0.143,20.0,262,13,4.96,3.00 (1.80-4.20),249,95.04,4.25 (4.00-4.49)
GLU like neurons 17,489,0.176,70.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,853,0.188,80.0,133,10,7.52,1.75 (0.85-2.65),123,92.48,3.40 (3.08-3.72)
GABA neurons expressing GABA receptors 13,288,0.099,9.0,93,6,6.45,1.58 (0.94-2.23),87,93.55,5.48 (5.01-5.94)
endothelial cells 9,586,0.076,10.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,676,0.021,4.0,110,12,10.91,3.09 (1.95-4.22),98,89.09,5.27 (4.82-5.72)
GABA like neurons 14,2090,0.156,51.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266,0.093,62.0,66,15,22.73,1.84 (1.06-2.62),51,77.27,3.63 (3.21-4.06)
oligodendrocyte progenitor cells 12,3303,0.095,70.0,276,24,8.7,2.62 (1.92-3.32),252,91.3,3.64 (3.42-3.87)
oligodendrocytes 10,735,0.095,49.0,277,1,0.36,4.70 (NA-NA),276,99.64,3.89 (3.65-4.13)
connective tissue cells 21,111,0.182,3.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,268,0.119,61.0,10,1,10.0,2.74 (NA-NA),9,90.0,3.83 (1.90-5.76)
oligodendrocytes 16,65,0.267,86.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448,0.074,15.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,72,0.312,48.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.171,83.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43)
oligodendrocytes 0,2078,0.094,13.0,238,11,4.62,4.01 (2.51-5.51),227,95.38,3.62 (3.40-3.84)
microglia 1,1615,0.053,1.0,161,21,13.04,2.74 (1.71-3.77),140,86.96,3.37 (3.11-3.62)
oligodendrocytes 3,639,0.051,8.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,921,0.09,3.0,200,4,2.0,4.11 (0.67-7.54),196,98.0,3.61 (3.35-3.88)
