tipo_celular,module_size,HSD17B4_MM,HSD17B4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.216,81.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,349,0.138,33.0,68,1,1.47,0.79 (NA-NA),67,98.53,4.44 (3.89-4.99)
astrocytes 5,1141,0.152,78.0,166,11,6.63,1.57 (0.96-2.17),155,93.37,3.55 (3.30-3.80)
oligodendrocyte progenitor cells 7,4285,0.148,70.0,353,25,7.08,1.81 (1.04-2.59),328,92.92,4.06 (3.89-4.24)
GABA neurons expressing GLU receptors 22,567,0.214,60.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,489,0.104,26.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,71,0.334,70.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,357,0.097,13.0,237,5,2.11,4.08 (3.22-4.95),232,97.89,4.42 (4.18-4.66)
endothelial cells 9,658,0.163,34.0,120,4,3.33,3.10 (2.65-3.55),116,96.67,4.67 (4.34-4.99)
oligodendrocytes 20,233,0.185,47.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052,0.171,77.0,125,1,0.8,8.28 (NA-NA),124,99.2,3.30 (2.99-3.61)
astrocytes 8,771,0.159,58.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303,0.109,82.0,276,15,5.43,2.67 (1.67-3.67),261,94.57,3.60 (3.38-3.82)
oligodendrocytes 10,1277,0.154,74.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,73,0.296,55.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443,0.162,57.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,90,0.161,27.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.112,53.0,122,11,9.02,1.48 (0.84-2.12),111,90.98,4.32 (3.94-4.71)
astrocytes microglia 23,58,0.304,51.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255,0.131,15.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,309,0.17,77.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,346,0.152,53.0,43,2,4.65,3.56 (1.90-5.22),41,95.35,3.78 (3.25-4.31)
oligodendrocytes 3,1003,0.168,89.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348,0.197,49.0,114,5,4.39,2.84 (2.56-3.12),109,95.61,5.26 (4.85-5.68)
