tipo_celular,module_size,XPO5_MM,XPO5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.204,40.0,98,9,9.18,1.58 (0.98-2.18),89,90.82,3.43 (2.93-3.93)
T cells 18,506,0.419,88.0,225,12,5.33,2.14 (1.28-3.01),213,94.67,3.71 (3.45-3.96)
astrocytes 5,1656,0.134,80.0,136,7,5.15,2.07 (1.04-3.11),129,94.85,3.28 (3.00-3.55)
oligodendrocyte progenitor cells 7,628,0.114,14.0,164,1,0.61,5.16 (NA-NA),163,99.39,4.08 (3.75-4.40)
GABA neurons expressing GLU receptors 22,1069,0.148,37.0,37,3,8.11,2.03 (1.31-2.75),34,91.89,2.17 (1.67-2.67)
GLU like neurons 17,380,0.178,54.0,39,3,7.69,3.01 (1.90-4.12),36,92.31,2.96 (2.37-3.56)
da like neurons 11,1220,0.131,29.0,410,17,4.15,3.19 (2.42-3.96),393,95.85,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,65,0.123,22.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,916,0.364,80.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,938,0.189,76.0,169,11,6.51,2.68 (1.68-3.67),158,93.49,3.54 (3.32-3.76)
GABA like neurons 14,2402,0.232,51.0,455,37,8.13,2.35 (1.82-2.87),418,91.87,4.58 (4.40-4.76)
astrocytes 8,603,0.108,69.0,89,10,11.24,1.35 (1.04-1.67),79,88.76,2.99 (2.61-3.36)
oligodendrocyte progenitor cells 12,1049,0.255,89.0,235,2,0.85,4.26 (0.69-7.83),233,99.15,3.82 (3.59-4.05)
oligodendrocytes 10,483,0.502,97.0,129,1,0.78,5.16 (NA-NA),128,99.22,3.41 (3.02-3.80)
connective tissue cells 21,301,0.426,62.0,158,6,3.8,1.52 (0.85-2.18),152,96.2,4.42 (4.05-4.78)
astrocytes 15,1768,0.063,26.0,105,29,27.62,2.35 (1.83-2.88),76,72.38,3.56 (3.17-3.95)
oligodendrocytes 16,91,0.203,46.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,729,0.142,45.0,182,5,2.75,1.64 (1.24-2.04),177,97.25,3.71 (3.45-3.96)
astrocytes microglia 23,137,0.399,66.0,188,19,10.11,1.52 (1.12-1.93),169,89.89,4.78 (4.46-5.10)
astrocytes 4,1807,0.127,20.0,104,27,25.96,1.91 (1.46-2.37),77,74.04,3.23 (2.93-3.54)
oligodendrocytes 0,546,0.163,46.0,252,25,9.92,1.74 (1.16-2.32),227,90.08,4.42 (4.18-4.65)
microglia 1,406,0.416,80.0,278,1,0.36,5.16 (NA-NA),277,99.64,4.36 (4.08-4.63)
oligodendrocytes 3,303,0.087,26.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526,0.23,40.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
