tipo_celular,module_size,BRAF_MM,BRAF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.252,87.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,610,0.231,92.0,98,32,32.65,2.30 (1.83-2.77),66,67.35,3.59 (3.22-3.95)
astrocytes 5,1141,0.127,43.0,166,24,14.46,2.23 (1.78-2.68),142,85.54,3.64 (3.37-3.91)
oligodendrocyte progenitor cells 7,436,0.045,4.0,219,10,4.57,4.44 (3.65-5.23),209,95.43,5.26 (4.96-5.56)
GABA neurons expressing GLU receptors 22,192,0.096,22.0,55,2,3.64,2.29 (2.26-2.32),53,96.36,4.10 (3.68-4.52)
GLU like neurons 17,1247,0.13,47.0,51,3,5.88,2.62 (1.48-3.76),48,94.12,3.70 (3.09-4.31)
da like neurons 11,140,0.245,58.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,93,0.214,82.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653,0.239,97.0,297,4,1.35,3.12 (1.95-4.29),293,98.65,3.68 (3.47-3.88)
oligodendrocytes 20,403,0.287,92.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57)
GABA like neurons 14,1300,0.286,83.0,306,43,14.05,3.11 (2.69-3.53),263,85.95,5.57 (5.31-5.84)
astrocytes 8,283,0.287,97.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,254,0.339,68.0,37,10,27.03,2.86 (2.55-3.17),27,72.97,5.28 (4.67-5.88)
oligodendrocytes 10,2107,0.284,87.0,358,52,14.53,2.19 (1.85-2.53),306,85.47,4.25 (4.06-4.44)
connective tissue cells 21,84,0.272,61.0,4,4,100.0,4.34 (4.07-4.60),0,0.0,NA
astrocytes 15,1768,0.149,91.0,105,21,20.0,2.03 (1.60-2.46),84,80.0,3.54 (3.16-3.92)
oligodendrocytes 16,151,0.162,29.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,398,0.173,58.0,138,27,19.57,2.83 (2.33-3.32),111,80.43,5.42 (5.05-5.80)
astrocytes microglia 23,86,0.158,0.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
astrocytes 4,752,0.132,21.0,96,12,12.5,3.12 (2.51-3.74),84,87.5,3.31 (2.95-3.68)
oligodendrocytes 0,1186,0.19,97.0,300,17,5.67,3.50 (3.12-3.88),283,94.33,3.81 (3.59-4.03)
microglia 1,480,0.153,31.0,163,21,12.88,3.96 (3.47-4.46),142,87.12,3.67 (3.37-3.96)
oligodendrocytes 3,1003,0.15,85.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,804,0.218,97.0,84,13,15.48,2.88 (2.10-3.65),71,84.52,2.64 (2.27-3.02)
