tipo_celular,module_size,N4BP2L2_MM,N4BP2L2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.18,66.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,388,0.132,40.0,84,9,10.71,2.62 (2.18-3.06),75,89.29,3.02 (2.65-3.38)
astrocytes 5,222,0.081,2.0,98,3,3.06,1.91 (0.72-3.10),95,96.94,4.70 (4.30-5.10)
oligodendrocyte progenitor cells 7,628,0.124,20.0,164,2,1.22,4.11 (3.81-4.41),162,98.78,4.08 (3.75-4.42)
GABA neurons expressing GLU receptors 22,703,0.071,3.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,637,0.109,26.0,91,11,12.09,1.53 (0.69-2.37),80,87.91,5.13 (4.66-5.60)
da like neurons 11,408,0.139,38.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04)
GABA neurons expressing GABA receptors 13,288,0.228,69.0,93,9,9.68,2.42 (1.62-3.23),84,90.32,5.54 (5.06-6.02)
endothelial cells 9,1653,0.211,93.0,297,3,1.01,5.16 (5.16-5.16),294,98.99,3.66 (3.46-3.87)
oligodendrocytes 20,676,0.34,60.0,110,8,7.27,2.10 (1.25-2.96),102,92.73,5.32 (4.90-5.75)
GABA like neurons 14,1300,0.149,23.0,306,15,4.9,2.45 (1.78-3.11),291,95.1,5.29 (5.03-5.54)
astrocytes 8,279,0.239,35.0,78,7,8.97,2.65 (2.20-3.09),71,91.03,4.51 (4.08-4.94)
oligodendrocyte progenitor cells 12,254,0.142,21.0,37,3,8.11,2.88 (2.53-3.22),34,91.89,4.67 (4.06-5.28)
oligodendrocytes 10,236,0.1,2.0,82,4,4.88,3.21 (2.51-3.92),78,95.12,5.11 (4.57-5.65)
connective tissue cells 21,147,0.158,13.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,418,0.277,67.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,287,0.139,10.0,105,8,7.62,2.07 (1.22-2.91),97,92.38,5.46 (5.06-5.87)
da neurons 6,398,0.259,81.0,138,17,12.32,2.40 (1.66-3.13),121,87.68,5.24 (4.88-5.59)
astrocytes microglia 23,190,0.144,0.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,220,0.079,4.0,63,9,14.29,2.94 (2.46-3.42),54,85.71,5.63 (5.06-6.21)
oligodendrocytes 0,261,0.07,2.0,42,7,16.67,1.51 (0.95-2.08),35,83.33,4.77 (4.14-5.40)
microglia 1,315,0.084,8.0,144,8,5.56,3.37 (2.94-3.80),136,94.44,4.53 (4.21-4.86)
oligodendrocytes 3,127,0.174,18.0,45,5,11.11,2.08 (1.29-2.87),40,88.89,4.85 (3.95-5.74)
oligodendrocytes 2,348,0.084,2.0,114,6,5.26,3.19 (2.74-3.63),108,94.74,5.27 (4.85-5.69)
