tipo_celular,module_size,GALNT2_MM,GALNT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.377,83.0,140,1,0.71,NA,139,99.29,4.56 (4.27-4.84)
T cells 18,477,0.137,33.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,322,0.285,87.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,4285,0.141,59.0,353,28,7.93,1.88 (1.38-2.39),325,92.07,4.12 (3.94-4.30)
GABA neurons expressing GLU receptors 22,823,0.163,41.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24)
GLU like neurons 17,300,0.16,23.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,101,0.454,92.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,357,0.101,15.0,237,3,1.27,3.21 (1.50-4.91),234,98.73,4.43 (4.19-4.66)
endothelial cells 9,1653,0.178,82.0,297,4,1.35,3.12 (1.95-4.29),293,98.65,3.68 (3.47-3.88)
oligodendrocytes 20,295,0.163,39.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052,0.15,60.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,1266,0.098,66.0,66,8,12.12,1.11 (0.31-1.92),58,87.88,3.57 (3.18-3.97)
oligodendrocyte progenitor cells 12,3303,0.126,92.0,276,16,5.8,2.03 (1.54-2.52),260,94.2,3.67 (3.44-3.89)
oligodendrocytes 10,2107,0.32,91.0,358,24,6.7,1.64 (1.11-2.17),334,93.3,4.07 (3.89-4.26)
connective tissue cells 21,139,0.27,28.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,1401,0.114,73.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,81,0.203,67.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,518,0.123,62.0,122,17,13.93,2.12 (1.49-2.75),105,86.07,4.41 (4.00-4.81)
astrocytes microglia 23,229,0.16,4.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,171,0.156,38.0,22,2,9.09,4.56 (NA-NA),20,90.91,4.54 (3.56-5.52)
oligodendrocytes 0,1186,0.166,84.0,300,4,1.33,5.21 (NA-NA),296,98.67,3.79 (3.58-3.99)
microglia 1,315,0.236,75.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,854,0.118,77.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14)
oligodendrocytes 2,921,0.154,78.0,200,4,2.0,1.81 (1.43-2.19),196,98.0,3.67 (3.40-3.94)
