tipo_celular,module_size,DCTN5_MM,DCTN5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.311,87.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,624,0.162,58.0,142,2,1.41,NA,140,98.59,3.21 (2.94-3.48)
astrocytes 5,932,0.076,7.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.108,16.0,353,26,7.37,1.85 (1.33-2.37),327,92.63,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,203,0.266,51.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1316,0.086,16.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42)
da like neurons 11,1220,0.117,23.0,410,7,1.71,2.52 (0.42-4.62),403,98.29,4.28 (4.10-4.47)
GABA neurons expressing GABA receptors 13,238,0.282,89.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,338,0.182,69.0,191,3,1.57,6.13 (3.06-9.20),188,98.43,3.85 (3.63-4.08)
oligodendrocytes 20,322,0.027,3.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052,0.17,76.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67)
astrocytes 8,520,0.05,14.0,288,8,2.78,2.35 (0.54-4.16),280,97.22,4.23 (4.04-4.43)
oligodendrocyte progenitor cells 12,218,0.049,19.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,806,0.23,69.0,261,7,2.68,3.42 (1.74-5.10),254,97.32,4.40 (4.16-4.64)
connective tissue cells 21,125,0.274,38.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,1768,0.073,36.0,105,9,8.57,1.70 (1.25-2.15),96,91.43,3.37 (3.02-3.72)
oligodendrocytes 16,75,0.226,72.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,553,0.209,87.0,124,3,2.42,3.41 (-0.91-7.72),121,97.58,4.21 (3.82-4.60)
astrocytes microglia 23,103,0.318,56.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.125,10.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078,0.112,45.0,238,2,0.84,NA,236,99.16,3.64 (3.42-3.86)
microglia 1,813,0.078,7.0,79,2,2.53,1.99 (1.51-2.47),77,97.47,3.13 (2.72-3.54)
oligodendrocytes 3,457,0.055,11.0,345,5,1.45,4.02 (1.85-6.19),340,98.55,4.28 (4.07-4.49)
oligodendrocytes 2,1630,0.143,52.0,154,1,0.65,2.12 (NA-NA),153,99.35,3.25 (2.99-3.52)
