tipo_celular,module_size,TAOK1_MM,TAOK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.118,2.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,624,0.193,79.0,142,7,4.93,3.34 (3.13-3.55),135,95.07,3.20 (2.92-3.48)
astrocytes 5,423,0.134,40.0,80,5,6.25,2.98 (1.71-4.26),75,93.75,3.43 (2.93-3.93)
oligodendrocyte progenitor cells 7,448,0.134,46.0,108,2,1.85,NA,106,98.15,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,823,0.065,2.0,23,7,30.43,3.34 (2.45-4.23),16,69.57,1.80 (0.90-2.69)
GLU like neurons 17,1247,0.184,77.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21)
da like neurons 11,853,0.271,95.0,133,29,21.8,2.60 (2.02-3.18),104,78.2,3.48 (3.12-3.84)
GABA neurons expressing GABA receptors 13,238,0.217,73.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,1653,0.094,22.0,297,15,5.05,3.46 (3.25-3.68),282,94.95,3.69 (3.47-3.91)
oligodendrocytes 20,221,0.11,13.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,1300,0.263,76.0,306,62,20.26,3.67 (3.26-4.09),244,79.74,5.57 (5.29-5.86)
astrocytes 8,577,0.113,67.0,83,7,8.43,2.22 (1.54-2.89),76,91.57,3.35 (2.87-3.83)
oligodendrocyte progenitor cells 12,103,0.474,68.0,9,3,33.33,5.41 (5.28-5.54),6,66.67,2.24 (0.06-4.41)
oligodendrocytes 10,130,0.2,14.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,95,0.209,13.0,4,1,25.0,2.71 (NA-NA),3,75.0,3.73 (2.31-5.14)
astrocytes 15,1768,0.091,53.0,105,17,16.19,1.86 (1.42-2.30),88,83.81,3.50 (3.13-3.87)
oligodendrocytes 16,112,0.187,62.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,553,0.261,93.0,124,17,13.71,4.32 (3.21-5.42),107,86.29,4.16 (3.74-4.58)
astrocytes microglia 23,253,0.211,25.0,47,2,4.26,1.42 (0.47-2.37),45,95.74,2.92 (2.59-3.25)
astrocytes 4,514,0.116,8.0,95,18,18.95,2.88 (2.14-3.62),77,81.05,3.52 (3.02-4.01)
oligodendrocytes 0,1186,0.157,70.0,300,23,7.67,3.62 (3.38-3.87),277,92.33,3.81 (3.59-4.03)
microglia 1,1615,0.08,10.0,161,35,21.74,2.36 (1.91-2.82),126,78.26,3.60 (3.30-3.90)
oligodendrocytes 3,639,0.088,44.0,15,8,53.33,1.58 (0.75-2.42),7,46.67,6.08 (5.29-6.88)
oligodendrocytes 2,804,0.152,51.0,84,19,22.62,2.93 (2.33-3.54),65,77.38,2.59 (2.19-2.99)
