tipo_celular,module_size,RPS6KA2_MM,RPS6KA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.259,59.0,140,6,4.29,2.19 (1.84-2.53),134,95.71,4.66 (4.38-4.94)
T cells 18,610,0.142,42.0,98,22,22.45,2.28 (1.65-2.91),76,77.55,3.40 (3.06-3.74)
astrocytes 5,222,0.261,72.0,98,4,4.08,2.75 (1.17-4.33),94,95.92,4.69 (4.28-5.10)
oligodendrocyte progenitor cells 7,200,0.086,10.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,714,0.22,69.0,17,6,35.29,2.69 (2.26-3.13),11,64.71,2.10 (1.23-2.96)
GLU like neurons 17,489,0.122,38.0,42,5,11.9,4.55 (3.63-5.46),37,88.1,6.28 (5.70-6.87)
da like neurons 11,71,0.326,59.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,288,0.179,54.0,93,5,5.38,2.54 (0.57-4.51),88,94.62,5.34 (4.86-5.83)
endothelial cells 9,658,0.246,64.0,120,15,12.5,3.33 (2.83-3.83),105,87.5,4.82 (4.48-5.16)
oligodendrocytes 20,938,0.136,54.0,169,4,2.37,2.50 (0.09-4.90),165,97.63,3.51 (3.29-3.73)
GABA like neurons 14,1300,0.274,79.0,306,24,7.84,3.14 (2.55-3.73),282,92.16,5.35 (5.08-5.62)
astrocytes 8,262,0.355,99.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,411,0.181,57.0,103,5,4.85,4.88 (4.62-5.14),98,95.15,5.59 (5.18-6.00)
oligodendrocytes 10,2107,0.229,77.0,358,33,9.22,2.16 (1.70-2.62),325,90.78,4.10 (3.91-4.29)
connective tissue cells 21,250,0.133,4.0,117,1,0.85,5.02 (NA-NA),116,99.15,5.38 (4.97-5.78)
astrocytes 15,418,0.097,48.0,54,1,1.85,3.70 (NA-NA),53,98.15,3.68 (3.23-4.13)
oligodendrocytes 16,199,0.25,91.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,398,0.227,76.0,138,22,15.94,2.63 (2.03-3.22),116,84.06,5.33 (4.97-5.70)
astrocytes microglia 23,166,0.185,13.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,255,0.175,54.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,309,0.112,28.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,315,0.105,15.0,144,1,0.69,1.62 (NA-NA),143,99.31,4.48 (4.18-4.79)
oligodendrocytes 3,854,0.213,100.0,76,6,7.89,3.51 (2.20-4.82),70,92.11,2.71 (2.38-3.05)
oligodendrocytes 2,347,0.331,90.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
