tipo_celular,module_size,MT-ATP8_MM,MT-ATP8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.34,94.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,282,0.071,6.0,241,25,10.37,3.63 (3.38-3.87),216,89.63,4.13 (3.84-4.42)
astrocytes 5,228,0.09,4.0,266,56,21.05,3.16 (2.84-3.48),210,78.95,4.47 (4.23-4.71)
oligodendrocyte progenitor cells 7,4285,0.092,6.0,353,18,5.1,1.15 (0.80-1.49),335,94.9,4.08 (3.91-4.26)
GABA neurons expressing GLU receptors 22,192,0.182,73.0,55,29,52.73,3.57 (3.28-3.87),26,47.27,4.71 (3.83-5.60)
GLU like neurons 17,1316,0.105,34.0,101,2,1.98,2.32 (1.92-2.72),99,98.02,3.07 (2.71-3.43)
da like neurons 11,1220,0.1,15.0,410,56,13.66,3.46 (3.24-3.69),354,86.34,4.42 (4.21-4.64)
GABA neurons expressing GABA receptors 13,238,0.103,12.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,338,0.091,26.0,191,5,2.62,2.78 (2.32-3.25),186,97.38,3.92 (3.69-4.15)
oligodendrocytes 20,403,0.048,16.0,18,8,44.44,0.89 (0.40-1.37),10,55.56,2.67 (1.77-3.57)
GABA like neurons 14,3052,0.041,1.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,47,0.184,64.0,76,15,19.74,3.36 (3.00-3.72),61,80.26,4.22 (3.85-4.58)
oligodendrocyte progenitor cells 12,3303,0.083,55.0,276,13,4.71,2.02 (1.45-2.59),263,95.29,3.64 (3.42-3.86)
oligodendrocytes 10,735,0.131,68.0,277,21,7.58,3.92 (3.85-3.99),256,92.42,3.89 (3.63-4.16)
connective tissue cells 21,126,0.265,40.0,7,2,28.57,1.12 (0.53-1.72),5,71.43,1.69 (0.21-3.17)
astrocytes 15,338,0.065,6.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,113,0.191,39.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,553,0.11,35.0,124,4,3.23,2.37 (0.94-3.80),120,96.77,4.27 (3.87-4.67)
astrocytes microglia 23,114,0.346,76.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,157,0.174,47.0,178,56,31.46,3.19 (2.87-3.51),122,68.54,4.80 (4.46-5.13)
oligodendrocytes 0,116,0.159,49.0,169,11,6.51,3.03 (2.63-3.43),158,93.49,4.39 (4.07-4.70)
microglia 1,214,0.082,4.0,227,51,22.47,3.54 (3.32-3.76),176,77.53,4.32 (4.01-4.64)
oligodendrocytes 3,32,0.205,39.0,81,51,62.96,3.52 (3.31-3.73),30,37.04,5.37 (4.76-5.99)
oligodendrocytes 2,99,0.188,35.0,116,10,8.62,2.97 (2.61-3.32),106,91.38,4.07 (3.75-4.39)
