tipo_celular,module_size,PDIA3_MM,PDIA3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.344,97.0,97,20,20.62,4.59 (3.52-5.65),77,79.38,2.78 (2.39-3.18)
T cells 18,518,0.143,41.0,131,1,0.76,5.88 (NA-NA),130,99.24,3.05 (2.78-3.32)
astrocytes 5,423,0.217,81.0,80,2,2.5,6.61 (3.35-9.88),78,97.5,3.30 (2.84-3.77)
oligodendrocyte progenitor cells 7,628,0.182,60.0,164,24,14.63,4.09 (3.45-4.73),140,85.37,4.08 (3.72-4.45)
GABA neurons expressing GLU receptors 22,599,0.279,80.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1316,0.105,34.0,101,3,2.97,2.92 (2.43-3.41),98,97.03,3.06 (2.69-3.42)
da like neurons 11,1220,0.136,32.0,410,37,9.02,3.57 (3.04-4.10),373,90.98,4.33 (4.13-4.52)
GABA neurons expressing GABA receptors 13,357,0.179,59.0,237,7,2.95,4.83 (3.79-5.87),230,97.05,4.40 (4.16-4.63)
endothelial cells 9,385,0.133,72.0,275,36,13.09,2.06 (1.46-2.67),239,86.91,4.33 (4.08-4.59)
oligodendrocytes 20,403,0.092,40.0,18,11,61.11,1.12 (0.57-1.66),7,38.89,3.07 (2.03-4.12)
GABA like neurons 14,2402,0.16,28.0,455,56,12.31,2.78 (2.29-3.28),399,87.69,4.62 (4.43-4.80)
astrocytes 8,577,0.148,80.0,83,4,4.82,4.89 (2.48-7.31),79,95.18,3.15 (2.70-3.59)
oligodendrocyte progenitor cells 12,1049,0.116,62.0,235,22,9.36,4.25 (3.52-4.99),213,90.64,3.78 (3.54-4.02)
oligodendrocytes 10,735,0.177,83.0,277,4,1.44,5.10 (4.29-5.91),273,98.56,3.88 (3.63-4.12)
connective tissue cells 21,139,0.231,19.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,338,0.078,8.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,85,0.191,39.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.179,90.0,122,36,29.51,2.73 (2.03-3.43),86,70.49,4.53 (4.12-4.94)
astrocytes microglia 23,45,0.393,73.0,8,0,0.0,NA,8,100.0,NA
astrocytes 4,514,0.289,83.0,95,4,4.21,4.85 (2.28-7.42),91,95.79,3.28 (2.87-3.70)
oligodendrocytes 0,2078,0.117,55.0,238,3,1.26,1.98 (0.20-3.77),235,98.74,3.66 (3.44-3.88)
microglia 1,813,0.251,98.0,79,12,15.19,3.71 (2.94-4.48),67,84.81,2.98 (2.53-3.43)
oligodendrocytes 3,457,0.054,9.0,345,28,8.12,3.54 (2.96-4.13),317,91.88,4.35 (4.13-4.57)
oligodendrocytes 2,528,0.16,24.0,175,30,17.14,4.21 (3.63-4.80),145,82.86,4.42 (4.01-4.83)
