tipo_celular,module_size,SMARCC2_MM,SMARCC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.152,49.0,71,13,18.31,2.53 (1.67-3.39),58,81.69,2.64 (2.17-3.12)
T cells 18,282,0.184,59.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,932,0.123,71.0,80,12,15.0,4.76 (4.36-5.17),68,85.0,3.46 (2.99-3.92)
oligodendrocyte progenitor cells 7,4285,0.128,38.0,353,91,25.78,2.68 (2.40-2.95),262,74.22,4.48 (4.29-4.67)
GABA neurons expressing GLU receptors 22,487,0.15,21.0,73,10,13.7,2.29 (1.53-3.06),63,86.3,2.84 (2.41-3.27)
GLU like neurons 17,300,0.208,68.0,16,7,43.75,2.78 (1.77-3.79),9,56.25,1.39 (0.16-2.61)
da like neurons 11,265,0.215,61.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,65,0.133,30.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,303,0.073,14.0,54,2,3.7,4.57 (3.62-5.53),52,96.3,4.85 (4.19-5.52)
oligodendrocytes 20,271,0.156,41.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2090,0.116,23.0,74,23,31.08,2.93 (2.42-3.44),51,68.92,2.95 (2.44-3.45)
astrocytes 8,260,0.136,58.0,4,3,75.0,1.99 (0.00-3.99),1,25.0,NA
oligodendrocyte progenitor cells 12,3303,0.105,79.0,276,62,22.46,2.33 (2.08-2.59),214,77.54,4.03 (3.78-4.27)
oligodendrocytes 10,2107,0.064,11.0,358,108,30.17,2.63 (2.39-2.87),250,69.83,4.68 (4.49-4.88)
connective tissue cells 21,96,0.273,38.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768,0.058,21.0,105,25,23.81,1.90 (1.45-2.34),80,76.19,3.67 (3.30-4.04)
oligodendrocytes 16,81,0.182,52.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,448,0.118,67.0,43,6,13.95,3.88 (3.69-4.07),37,86.05,3.16 (2.54-3.78)
astrocytes microglia 23,100,0.168,3.0,9,0,0.0,NA,9,100.0,3.95 (2.94-4.96)
astrocytes 4,721,0.188,96.0,61,6,9.84,2.90 (1.31-4.48),55,90.16,2.97 (2.54-3.40)
oligodendrocytes 0,2078,0.098,19.0,238,26,10.92,3.06 (2.59-3.54),212,89.08,3.71 (3.47-3.95)
microglia 1,1615,0.104,41.0,161,73,45.34,2.43 (2.15-2.71),88,54.66,4.28 (3.94-4.63)
oligodendrocytes 3,681,0.084,39.0,87,64,73.56,2.44 (2.17-2.71),23,26.44,3.07 (2.31-3.82)
oligodendrocytes 2,921,0.141,56.0,200,8,4.0,2.86 (2.17-3.54),192,96.0,3.65 (3.38-3.92)
