tipo_celular,module_size,GRIPAP1_MM,GRIPAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.32,95.0,8,1,12.5,2.91 (NA-NA),7,87.5,1.04 (0.29-1.79)
T cells 18,624,0.127,28.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,932,0.067,3.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.142,60.0,353,39,11.05,2.69 (2.18-3.20),314,88.95,4.09 (3.90-4.28)
GABA neurons expressing GLU receptors 22,599,0.257,72.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,229,0.187,41.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,853,0.105,31.0,133,15,11.28,1.98 (1.32-2.64),118,88.72,3.45 (3.12-3.78)
GABA neurons expressing GABA receptors 13,77,0.164,43.0,8,6,75.0,3.16 (2.15-4.16),2,25.0,NA
endothelial cells 9,338,0.063,6.0,191,11,5.76,4.23 (3.47-5.00),180,94.24,3.86 (3.63-4.09)
oligodendrocytes 20,676,0.046,19.0,110,11,10.0,3.55 (2.23-4.88),99,90.0,5.23 (4.78-5.68)
GABA like neurons 14,2090,0.113,21.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,727,0.047,8.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303,0.085,58.0,276,27,9.78,2.94 (2.40-3.48),249,90.22,3.63 (3.39-3.86)
oligodendrocytes 10,806,0.072,15.0,261,26,9.96,4.03 (3.41-4.64),235,90.04,4.42 (4.15-4.68)
connective tissue cells 21,69,0.335,68.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,338,0.18,71.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,155,0.263,73.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,729,0.088,16.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,99,0.272,27.0,3,1,33.33,1.74 (NA-NA),2,66.67,1.91 (0.04-3.78)
astrocytes 4,1807,0.133,28.0,104,16,15.38,2.45 (1.81-3.09),88,84.62,2.94 (2.63-3.25)
oligodendrocytes 0,2078,0.096,16.0,238,7,2.94,2.94 (1.83-4.06),231,97.06,3.66 (3.44-3.89)
microglia 1,958,0.081,8.0,290,17,5.86,3.12 (2.29-3.94),273,94.14,3.87 (3.63-4.11)
oligodendrocytes 3,357,0.032,1.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,1630,0.118,11.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
