tipo_celular,module_size,AFG3L2_MM,AFG3L2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.133,32.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,727,0.118,31.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1656,0.092,16.0,136,5,3.68,1.93 (1.13-2.73),131,96.32,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285,0.127,36.0,353,27,7.65,1.39 (1.07-1.72),326,92.35,4.16 (3.99-4.34)
GABA neurons expressing GLU receptors 22,1069,0.15,40.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,637,0.063,6.0,91,16,17.58,2.24 (1.14-3.34),75,82.42,5.26 (4.81-5.70)
da like neurons 11,209,0.223,68.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,77,0.131,22.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,586,0.079,11.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58)
oligodendrocytes 20,271,0.044,5.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402,0.216,46.0,455,28,6.15,1.92 (1.38-2.46),427,93.85,4.57 (4.39-4.75)
astrocytes 8,140,0.109,44.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,1049,0.049,16.0,235,10,4.26,3.22 (2.42-4.01),225,95.74,3.86 (3.62-4.10)
oligodendrocytes 10,735,0.121,63.0,277,2,0.72,4.32 (3.08-5.55),275,99.28,3.89 (3.65-4.13)
connective tissue cells 21,116,0.341,76.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,367,0.198,82.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,90,0.247,67.0,2,1,50.0,1.71 (NA-NA),1,50.0,0.94 (NA-NA)
da neurons 6,409,0.091,26.0,235,15,6.38,3.10 (2.24-3.96),220,93.62,4.06 (3.80-4.32)
astrocytes microglia 23,112,0.247,13.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.137,36.0,104,16,15.38,1.51 (1.03-1.98),88,84.62,3.13 (2.84-3.42)
oligodendrocytes 0,2078,0.116,53.0,238,4,1.68,1.99 (0.72-3.25),234,98.32,3.67 (3.45-3.89)
microglia 1,958,0.08,8.0,290,7,2.41,2.59 (1.64-3.55),283,97.59,3.85 (3.62-4.08)
oligodendrocytes 3,94,0.05,13.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,1630,0.14,45.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
