tipo_celular,module_size,SPP1_MM,SPP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.324,74.0,140,17,12.14,3.16 (2.62-3.70),123,87.86,4.77 (4.47-5.06)
T cells 18,349,0.242,69.0,68,6,8.82,1.47 (0.97-1.98),62,91.18,4.75 (4.21-5.28)
astrocytes 5,165,0.31,78.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229,0.344,89.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567,0.238,67.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637,0.276,78.0,91,12,13.19,1.49 (0.73-2.25),79,86.81,5.20 (4.75-5.65)
da like neurons 11,408,0.371,83.0,25,7,28.0,1.90 (0.61-3.19),18,72.0,6.08 (4.73-7.42)
GABA neurons expressing GABA receptors 13,357,0.366,95.0,237,6,2.53,3.83 (2.47-5.20),231,97.47,4.43 (4.19-4.66)
endothelial cells 9,450,0.351,74.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,358,0.07,24.0,31,2,6.45,3.01 (2.80-3.22),29,93.55,2.31 (1.85-2.77)
GABA like neurons 14,2402,0.224,49.0,455,28,6.15,2.05 (1.46-2.65),427,93.85,4.52 (4.34-4.70)
astrocytes 8,771,0.435,89.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708,0.535,97.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204,0.295,19.0,92,1,1.09,4.39 (NA-NA),91,98.91,5.72 (5.25-6.20)
connective tissue cells 21,101,0.305,48.0,116,10,8.62,2.04 (1.47-2.60),106,91.38,4.81 (4.40-5.23)
astrocytes 15,458,0.172,79.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,287,0.127,7.0,105,10,9.52,2.16 (1.52-2.81),95,90.48,5.56 (5.16-5.96)
da neurons 6,300,0.085,10.0,159,5,3.14,6.31 (5.74-6.87),154,96.86,4.28 (3.97-4.59)
astrocytes microglia 23,137,0.477,85.0,188,16,8.51,1.97 (1.34-2.60),172,91.49,4.66 (4.33-5.00)
astrocytes 4,102,0.245,66.0,42,1,2.38,3.22 (NA-NA),41,97.62,5.77 (5.06-6.49)
oligodendrocytes 0,546,0.353,96.0,252,27,10.71,2.00 (1.41-2.59),225,89.29,4.38 (4.14-4.62)
microglia 1,406,0.295,67.0,278,4,1.44,4.61 (3.03-6.20),274,98.56,4.36 (4.08-4.63)
oligodendrocytes 3,127,0.478,90.0,45,6,13.33,2.35 (1.52-3.18),39,86.67,4.91 (3.97-5.84)
oligodendrocytes 2,528,0.735,100.0,175,17,9.71,3.30 (2.74-3.87),158,90.29,4.52 (4.14-4.90)
