tipo_celular,module_size,NPAS3_MM,NPAS3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.362,86.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349,0.623,96.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12)
astrocytes 5,117,0.167,61.0,28,0,0.0,NA,28,100.0,5.31 (4.72-5.89)
oligodendrocyte progenitor cells 7,200,0.092,13.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,599,0.203,45.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,637,0.462,95.0,91,7,7.69,0.61 (0.16-1.06),84,92.31,4.99 (4.54-5.45)
da like neurons 11,408,0.393,84.0,25,6,24.0,1.31 (0.53-2.09),19,76.0,6.03 (4.79-7.27)
GABA neurons expressing GABA receptors 13,288,0.464,96.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80)
endothelial cells 9,450,0.657,96.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676,0.379,65.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66)
GABA like neurons 14,1300,0.174,34.0,306,5,1.63,0.97 (0.42-1.52),301,98.37,5.19 (4.94-5.45)
astrocytes 8,1266,0.246,97.0,66,16,24.24,1.68 (1.13-2.23),50,75.76,3.83 (3.41-4.25)
oligodendrocyte progenitor cells 12,411,0.33,78.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,204,0.512,80.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,250,0.365,65.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77)
astrocytes 15,418,0.043,22.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,65,0.1,5.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398,0.545,99.0,138,10,7.25,1.51 (0.83-2.19),128,92.75,5.13 (4.79-5.48)
astrocytes microglia 23,141,0.272,61.0,30,0,0.0,NA,30,100.0,5.66 (4.78-6.55)
astrocytes 4,220,0.214,78.0,63,2,3.17,1.93 (1.64-2.21),61,96.83,5.27 (4.72-5.82)
oligodendrocytes 0,187,0.153,42.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,127,0.342,77.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,681,0.175,92.0,87,43,49.43,2.03 (1.80-2.26),44,50.57,3.23 (2.78-3.67)
oligodendrocytes 2,407,0.107,7.0,122,52,42.62,1.95 (1.71-2.19),70,57.38,4.97 (4.52-5.41)
