tipo_celular,module_size,ACTR1A_MM,ACTR1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.299,84.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.083,8.0,136,1,0.74,2.91 (NA-NA),135,99.26,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,296.0,0.137,21.0,251,2,0.8,6.00 (2.66-9.33),249,99.2,4.04 (3.81-4.28)
GABA neurons expressing GLU receptors 22,703.0,0.14,24.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1247.0,0.09,19.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,1220.0,0.199,56.0,410,15,3.66,2.95 (1.67-4.23),395,96.34,4.29 (4.11-4.48)
GABA neurons expressing GABA receptors 13,77.0,0.125,16.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,338.0,0.111,40.0,191,4,2.09,4.77 (1.58-7.97),187,97.91,3.87 (3.65-4.09)
oligodendrocytes 20,228.0,0.121,21.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,2402.0,0.151,25.0,455,16,3.52,1.65 (0.72-2.59),439,96.48,4.43 (4.25-4.62)
astrocytes 8,520.0,0.134,57.0,288,14,4.86,3.06 (1.65-4.46),274,95.14,4.22 (4.02-4.42)
oligodendrocyte progenitor cells 12,3303.0,0.083,56.0,276,12,4.35,2.00 (1.31-2.70),264,95.65,3.62 (3.40-3.84)
oligodendrocytes 10,806.0,0.187,60.0,261,11,4.21,3.70 (2.17-5.22),250,95.79,4.39 (4.15-4.63)
connective tissue cells 21,100.0,0.305,58.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.127,81.0,96,5,5.21,3.29 (1.21-5.36),91,94.79,3.63 (3.17-4.10)
oligodendrocytes 16,92.0,0.248,70.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,300.0,0.177,57.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,96.0,0.316,46.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
astrocytes 4,1807.0,0.147,56.0,104,5,4.81,1.28 (0.30-2.27),99,95.19,2.95 (2.67-3.23)
oligodendrocytes 0,613.0,0.103,11.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,214.0,0.085,7.0,227,12,5.29,4.29 (3.01-5.57),215,94.71,4.08 (3.84-4.32)
oligodendrocytes 3,743.0,0.069,31.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.166,27.0,175,10,5.71,3.08 (2.34-3.81),165,94.29,4.45 (4.09-4.81)
