tipo_celular,module_size,HIF1A_MM,HIF1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.304,82.0,102,63,61.76,3.10 (2.75-3.45),39,38.24,4.12 (3.40-4.83)
T cells 18,610,0.263,97.0,98,48,48.98,2.06 (1.74-2.38),50,51.02,4.13 (3.80-4.46)
astrocytes 5,118,0.2,31.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,4285,0.135,50.0,353,80,22.66,2.44 (2.17-2.72),273,77.34,4.46 (4.28-4.64)
GABA neurons expressing GLU receptors 22,599,0.186,37.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,380,0.176,53.0,39,2,5.13,2.51 (1.64-3.37),37,94.87,2.99 (2.41-3.58)
da like neurons 11,1220,0.107,19.0,410,52,12.68,3.98 (3.59-4.37),358,87.32,4.29 (4.09-4.50)
GABA neurons expressing GABA receptors 13,73,0.108,9.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,586,0.109,21.0,62,6,9.68,3.67 (2.12-5.21),56,90.32,4.08 (3.61-4.55)
oligodendrocytes 20,295,0.166,40.0,28,8,28.57,2.86 (2.16-3.55),20,71.43,1.89 (1.35-2.44)
GABA like neurons 14,2402,0.138,21.0,455,66,14.51,3.22 (2.75-3.69),389,85.49,4.59 (4.40-4.78)
astrocytes 8,279,0.164,10.0,78,25,32.05,3.36 (2.86-3.85),53,67.95,4.88 (4.36-5.41)
oligodendrocyte progenitor cells 12,3303,0.109,82.0,276,75,27.17,2.56 (2.28-2.84),201,72.83,4.03 (3.77-4.29)
oligodendrocytes 10,2107,0.209,72.0,358,98,27.37,2.45 (2.19-2.70),260,72.63,4.59 (4.40-4.77)
connective tissue cells 21,126,0.187,4.0,7,5,71.43,1.96 (0.72-3.19),2,28.57,0.60 (-0.07-1.26)
astrocytes 15,268,0.201,75.0,10,5,50.0,2.54 (1.92-3.15),5,50.0,4.38 (1.80-6.97)
oligodendrocytes 16,108,0.18,53.0,5,1,20.0,2.46 (NA-NA),4,80.0,4.35 (3.43-5.27)
da neurons 6,518,0.121,61.0,122,16,13.11,1.67 (1.15-2.18),106,86.89,4.43 (4.05-4.82)
astrocytes microglia 23,327,0.381,72.0,120,66,55.0,3.35 (2.99-3.72),54,45.0,4.06 (3.56-4.57)
astrocytes 4,514,0.192,56.0,95,12,12.63,2.61 (1.32-3.89),83,87.37,3.46 (3.02-3.91)
oligodendrocytes 0,2078,0.123,68.0,238,26,10.92,3.08 (2.64-3.52),212,89.08,3.72 (3.48-3.96)
microglia 1,480,0.438,98.0,163,37,22.7,4.48 (4.00-4.97),126,77.3,3.47 (3.17-3.77)
oligodendrocytes 3,94,0.091,50.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,1630,0.14,46.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
