tipo_celular,module_size,DNAJC10_MM,DNAJC10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.218,55.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,610,0.172,66.0,98,24,24.49,1.54 (1.14-1.95),74,75.51,3.68 (3.37-3.98)
astrocytes 5,1656,0.124,65.0,136,5,3.68,1.98 (1.09-2.87),131,96.32,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285,0.163,89.0,353,36,10.2,2.01 (1.52-2.51),317,89.8,4.17 (3.99-4.34)
GABA neurons expressing GLU receptors 22,487,0.209,49.0,73,3,4.11,1.40 (1.32-1.48),70,95.89,2.82 (2.43-3.22)
GLU like neurons 17,637,0.061,6.0,91,9,9.89,0.86 (0.32-1.40),82,90.11,5.11 (4.66-5.55)
da like neurons 11,132,0.244,52.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,357,0.089,9.0,237,6,2.53,6.15 (4.96-7.33),231,97.47,4.38 (4.14-4.61)
endothelial cells 9,303,0.089,21.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,250,0.208,63.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402,0.108,11.0,455,37,8.13,2.96 (2.11-3.82),418,91.87,4.49 (4.31-4.66)
astrocytes 8,727,0.082,33.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303,0.098,73.0,276,28,10.14,2.08 (1.71-2.44),248,89.86,3.77 (3.54-3.99)
oligodendrocytes 10,735,0.07,29.0,277,10,3.61,6.22 (5.53-6.92),267,96.39,3.80 (3.56-4.04)
connective tissue cells 21,142,0.232,9.0,55,16,29.09,3.58 (1.89-5.27),39,70.91,3.29 (2.49-4.09)
astrocytes 15,1768,0.132,84.0,105,23,21.9,1.91 (1.52-2.31),82,78.1,3.59 (3.22-3.97)
oligodendrocytes 16,82,0.183,54.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,228,0.102,56.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,124,0.218,3.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,1807,0.154,68.0,104,21,20.19,1.82 (1.39-2.26),83,79.81,3.15 (2.84-3.46)
oligodendrocytes 0,2078,0.128,78.0,238,7,2.94,2.79 (1.89-3.69),231,97.06,3.67 (3.44-3.89)
microglia 1,1615,0.115,59.0,161,30,18.63,1.66 (1.27-2.05),131,81.37,3.73 (3.46-3.99)
oligodendrocytes 3,854,0.073,29.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14)
oligodendrocytes 2,1630,0.12,13.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
