tipo_celular,module_size,TGOLN2_MM,TGOLN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.128,6.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,393,0.103,14.0,59,4,6.78,4.42 (2.90-5.94),55,93.22,3.00 (2.48-3.52)
astrocytes 5,1656,0.129,71.0,136,3,2.21,3.55 (3.30-3.80),133,97.79,3.20 (2.92-3.48)
oligodendrocyte progenitor cells 7,4285,0.13,43.0,353,22,6.23,2.17 (1.54-2.80),331,93.77,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,487,0.322,81.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,1316,0.104,33.0,101,1,0.99,3.38 (NA-NA),100,99.01,3.05 (2.69-3.40)
da like neurons 11,1220,0.2,57.0,410,13,3.17,3.17 (2.50-3.84),397,96.83,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,265,0.13,34.0,78,9,11.54,3.88 (3.24-4.52),69,88.46,4.44 (3.97-4.91)
endothelial cells 9,559,0.182,60.0,155,5,3.23,5.67 (5.28-6.05),150,96.77,4.27 (3.90-4.65)
oligodendrocytes 20,358,0.107,30.0,31,1,3.23,3.60 (NA-NA),30,96.77,2.32 (1.88-2.75)
GABA like neurons 14,2402,0.431,83.0,455,28,6.15,2.68 (2.06-3.30),427,93.85,4.50 (4.31-4.68)
astrocytes 8,520,0.128,55.0,288,22,7.64,3.82 (3.18-4.47),266,92.36,4.21 (4.00-4.42)
oligodendrocyte progenitor cells 12,3303,0.072,41.0,276,13,4.71,2.68 (2.03-3.33),263,95.29,3.60 (3.37-3.82)
oligodendrocytes 10,735,0.153,77.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,91,0.335,74.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,1768,0.128,83.0,105,10,9.52,2.19 (1.59-2.79),95,90.48,3.33 (2.97-3.69)
oligodendrocytes 16,96,0.183,26.0,102,8,7.84,2.05 (1.27-2.84),94,92.16,3.48 (3.13-3.82)
da neurons 6,448,0.107,57.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,131,0.291,34.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,1807,0.165,85.0,104,14,13.46,2.47 (1.90-3.05),90,86.54,2.93 (2.62-3.24)
oligodendrocytes 0,613,0.143,51.0,127,2,1.57,3.30 (2.61-3.99),125,98.43,3.04 (2.62-3.47)
microglia 1,406,0.136,31.0,278,9,3.24,5.72 (5.37-6.06),269,96.76,4.29 (4.01-4.58)
oligodendrocytes 3,743,0.099,71.0,76,2,2.63,3.67 (3.53-3.81),74,97.37,3.14 (2.74-3.55)
oligodendrocytes 2,528,0.263,77.0,175,11,6.29,3.23 (2.80-3.66),164,93.71,4.50 (4.12-4.88)
