tipo_celular,module_size,PRKAR1A_MM,PRKAR1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.172,50.0,140,4,2.86,4.32 (4.30-4.34),136,97.14,4.51 (4.08-4.95)
T cells 18,518,0.192,73.0,131,3,2.29,3.32 (2.27-4.37),128,97.71,3.07 (2.79-3.35)
astrocytes 5,228,0.188,56.0,266,20,7.52,2.39 (1.51-3.28),246,92.48,4.26 (4.06-4.46)
oligodendrocyte progenitor cells 7,296,0.199,61.0,251,3,1.2,4.29 (NA-NA),248,98.8,4.06 (3.82-4.30)
GABA neurons expressing GLU receptors 22,848,0.261,67.0,262,16,6.11,2.95 (1.83-4.07),246,93.89,4.24 (3.99-4.49)
GLU like neurons 17,1316,0.196,92.0,101,3,2.97,3.00 (NA-NA),98,97.03,3.05 (2.70-3.41)
da like neurons 11,1220,0.292,79.0,410,15,3.66,2.97 (2.05-3.89),395,96.34,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,357,0.091,10.0,237,1,0.42,NA,236,99.58,4.41 (4.18-4.64)
endothelial cells 9,586,0.13,29.0,62,3,4.84,2.43 (NA-NA),59,95.16,4.08 (3.63-4.53)
oligodendrocytes 20,271,0.112,19.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402,0.494,88.0,455,22,4.84,1.64 (0.94-2.35),433,95.16,4.50 (4.32-4.68)
astrocytes 8,520,0.248,79.0,288,16,5.56,2.59 (1.76-3.42),272,94.44,4.26 (4.06-4.45)
oligodendrocyte progenitor cells 12,3303,0.129,93.0,276,41,14.86,2.03 (1.76-2.30),235,85.14,3.89 (3.65-4.12)
oligodendrocytes 10,806,0.322,83.0,261,6,2.3,3.56 (2.08-5.04),255,97.7,4.38 (4.14-4.63)
connective tissue cells 21,106,0.344,77.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,1768,0.096,58.0,105,17,16.19,1.89 (1.26-2.52),88,83.81,3.49 (3.14-3.85)
oligodendrocytes 16,313,0.275,68.0,291,7,2.41,3.22 (0.52-5.92),284,97.59,4.34 (4.12-4.57)
da neurons 6,300,0.204,65.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,134,0.262,22.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,157,0.138,18.0,178,15,8.43,2.49 (1.37-3.62),163,91.57,4.31 (4.05-4.57)
oligodendrocytes 0,613,0.165,70.0,127,15,11.81,1.95 (1.71-2.19),112,88.19,3.28 (2.80-3.77)
microglia 1,214,0.17,47.0,227,4,1.76,3.56 (2.08-5.04),223,98.24,4.10 (3.86-4.34)
oligodendrocytes 3,457,0.178,75.0,345,16,4.64,4.45 (3.35-5.54),329,95.36,4.27 (4.05-4.48)
oligodendrocytes 2,528,0.301,86.0,175,4,2.29,1.29 (NA-NA),171,97.71,4.40 (4.06-4.75)
