tipo_celular,module_size,EIF3A_MM,EIF3A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159,0.126,7.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,518,0.253,91.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656,0.08,6.0,136,9,6.62,2.02 (1.40-2.63),127,93.38,3.31 (3.02-3.59)
oligodendrocyte progenitor cells 7,4285,0.146,67.0,353,42,11.9,2.05 (1.61-2.49),311,88.1,4.21 (4.03-4.38)
GABA neurons expressing GLU receptors 22,848,0.19,42.0,262,15,5.73,2.05 (1.36-2.74),247,94.27,4.32 (4.07-4.56)
GLU like neurons 17,685,0.074,12.0,135,20,14.81,1.78 (1.39-2.16),115,85.19,3.49 (3.16-3.82)
da like neurons 11,1220,0.136,32.0,410,22,5.37,3.26 (2.68-3.85),388,94.63,4.33 (4.13-4.52)
GABA neurons expressing GABA receptors 13,357,0.095,12.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,385,0.121,63.0,275,49,17.82,2.42 (1.99-2.85),226,82.18,4.46 (4.19-4.73)
oligodendrocytes 20,358,0.186,65.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2090,0.097,12.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,520,0.087,35.0,288,13,4.51,2.45 (1.85-3.06),275,95.49,4.28 (4.08-4.48)
oligodendrocyte progenitor cells 12,708,0.11,51.0,32,8,25.0,1.14 (0.35-1.92),24,75.0,4.09 (3.25-4.93)
oligodendrocytes 10,483,0.181,69.0,129,13,10.08,3.58 (3.04-4.11),116,89.92,3.41 (2.96-3.85)
connective tissue cells 21,142,0.252,18.0,55,7,12.73,1.27 (0.54-1.99),48,87.27,4.13 (3.23-5.04)
astrocytes 15,1768,0.053,17.0,105,21,20.0,1.50 (1.18-1.81),84,80.0,3.66 (3.31-4.01)
oligodendrocytes 16,121,0.217,55.0,8,1,12.5,NA,7,87.5,0.99 (0.10-1.89)
da neurons 6,518,0.193,95.0,122,13,10.66,1.27 (0.78-1.77),109,89.34,4.39 (4.02-4.76)
astrocytes microglia 23,53,0.35,62.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.161,68.0,65,2,3.08,2.85 (NA-NA),63,96.92,2.96 (2.56-3.37)
oligodendrocytes 0,613,0.128,34.0,127,5,3.94,2.75 (1.40-4.11),122,96.06,3.07 (2.64-3.50)
microglia 1,958,0.119,62.0,290,13,4.48,2.73 (2.02-3.43),277,95.52,3.87 (3.64-4.11)
oligodendrocytes 3,457,0.064,16.0,345,11,3.19,2.88 (2.14-3.62),334,96.81,4.34 (4.13-4.55)
oligodendrocytes 2,528,0.2,50.0,175,4,2.29,3.65 (1.59-5.71),171,97.71,4.40 (4.05-4.76)
