tipo_celular,module_size,AGTPBP1_MM,AGTPBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.217,70.0,73,1,1.37,NA,72,98.63,3.56 (3.22-3.91)
T cells 18,349,0.289,77.0,68,8,11.76,4.53 (3.39-5.68),60,88.24,4.35 (3.74-4.96)
astrocytes 5,165,0.199,57.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229,0.183,46.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567,0.228,65.0,16,3,18.75,2.09 (1.81-2.36),13,81.25,1.95 (1.17-2.74)
GLU like neurons 17,637,0.152,47.0,91,19,20.88,2.09 (1.22-2.95),72,79.12,5.37 (4.93-5.81)
da like neurons 11,145,0.425,92.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,288,0.23,71.0,93,16,17.2,4.49 (3.73-5.24),77,82.8,5.32 (4.73-5.91)
endothelial cells 9,450,0.272,65.0,74,6,8.11,4.57 (3.16-5.97),68,91.89,5.57 (4.98-6.16)
oligodendrocytes 20,676,0.462,75.0,110,11,10.0,4.15 (3.30-5.01),99,90.0,5.12 (4.62-5.61)
GABA like neurons 14,1300,0.147,22.0,306,25,8.17,3.79 (3.11-4.48),281,91.83,5.26 (4.98-5.53)
astrocytes 8,771,0.429,89.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708,0.339,90.0,25,3,12.0,1.22 (-0.77-3.20),22,88.0,3.04 (2.01-4.08)
oligodendrocytes 10,236,0.394,26.0,82,6,7.32,4.23 (3.12-5.34),76,92.68,5.07 (4.51-5.63)
connective tissue cells 21,250,0.45,74.0,117,15,12.82,3.81 (3.03-4.60),102,87.18,5.68 (5.26-6.10)
astrocytes 15,458,0.189,82.0,36,1,2.78,NA,35,97.22,3.77 (2.68-4.85)
oligodendrocytes 16,287,0.278,44.0,105,15,14.29,4.03 (3.18-4.88),90,85.71,5.31 (4.82-5.81)
da neurons 6,409,0.089,25.0,235,7,2.98,2.10 (1.26-2.95),228,97.02,4.06 (3.81-4.31)
astrocytes microglia 23,53,0.208,8.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,102,0.152,24.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,261,0.137,22.0,42,12,28.57,3.49 (2.20-4.78),30,71.43,4.32 (3.50-5.14)
microglia 1,813,0.104,34.0,79,1,1.27,4.40 (NA-NA),78,98.73,3.08 (2.68-3.49)
oligodendrocytes 3,127,0.162,15.0,45,9,20.0,4.55 (3.76-5.34),36,80.0,4.19 (2.95-5.44)
oligodendrocytes 2,237,0.114,4.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
