tipo_celular,module_size,NDUFA4_MM,NDUFA4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.223,61.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,518,0.118,23.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,328,0.175,55.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628,0.262,84.0,164,27,16.46,4.10 (3.48-4.72),137,83.54,4.08 (3.70-4.46)
GABA neurons expressing GLU receptors 22,848,0.166,30.0,262,8,3.05,2.58 (1.16-3.99),254,96.95,4.23 (3.98-4.47)
GLU like neurons 17,1316,0.171,84.0,101,2,1.98,2.32 (1.92-2.72),99,98.02,3.07 (2.71-3.43)
da like neurons 11,1220,0.403,93.0,410,40,9.76,3.46 (2.95-3.96),370,90.24,4.36 (4.16-4.56)
GABA neurons expressing GABA receptors 13,417,0.328,99.0,213,45,21.13,2.91 (2.35-3.46),168,78.87,4.04 (3.79-4.29)
endothelial cells 9,916,0.281,68.0,302,32,10.6,3.61 (3.00-4.23),270,89.4,4.03 (3.79-4.28)
oligodendrocytes 20,221,0.098,10.0,12,1,8.33,NA,11,91.67,2.42 (0.83-4.00)
GABA like neurons 14,2402,0.713,99.0,455,40,8.79,3.14 (2.52-3.77),415,91.21,4.49 (4.30-4.68)
astrocytes 8,520,0.177,66.0,288,27,9.38,3.40 (2.87-3.93),261,90.62,4.28 (4.06-4.49)
oligodendrocyte progenitor cells 12,1049,0.296,92.0,235,27,11.49,4.03 (3.42-4.64),208,88.51,3.79 (3.54-4.05)
oligodendrocytes 10,806,0.247,71.0,261,31,11.88,3.53 (2.95-4.10),230,88.12,4.51 (4.25-4.77)
connective tissue cells 21,301,0.374,50.0,158,1,0.63,0.55 (NA-NA),157,99.37,4.29 (3.92-4.65)
astrocytes 15,367,0.203,84.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,122,0.256,84.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,729,0.318,97.0,182,12,6.59,4.38 (3.28-5.48),170,93.41,3.58 (3.32-3.84)
astrocytes microglia 23,134,0.327,59.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,208,0.191,47.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10)
oligodendrocytes 0,546,0.191,62.0,252,42,16.67,3.15 (2.53-3.76),210,83.33,4.33 (4.07-4.59)
microglia 1,214,0.178,50.0,227,38,16.74,3.69 (3.21-4.18),189,83.26,4.19 (3.93-4.46)
oligodendrocytes 3,457,0.227,86.0,345,10,2.9,3.59 (2.61-4.56),335,97.1,4.30 (4.09-4.52)
oligodendrocytes 2,526,0.311,65.0,213,27,12.68,4.09 (3.51-4.66),186,87.32,3.96 (3.66-4.27)
