tipo_celular,module_size,RPS24_MM,RPS24_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.585,99.0,98,30,30.61,3.20 (2.53-3.88),68,69.39,3.22 (2.57-3.87)
T cells 18,506,0.413,88.0,225,31,13.78,3.14 (2.48-3.79),194,86.22,3.71 (3.45-3.98)
astrocytes 5,328,0.297,87.0,128,10,7.81,3.64 (3.17-4.12),118,92.19,3.56 (3.18-3.94)
oligodendrocyte progenitor cells 7,448,0.413,98.0,108,15,13.89,4.54 (3.68-5.41),93,86.11,3.01 (2.54-3.49)
GABA neurons expressing GLU receptors 22,487,0.499,99.0,73,20,27.4,3.27 (2.47-4.08),53,72.6,2.55 (2.13-2.97)
GLU like neurons 17,685,0.187,74.0,135,27,20.0,2.30 (1.83-2.77),108,80.0,3.46 (3.11-3.82)
da like neurons 11,1220,0.254,72.0,410,20,4.88,3.21 (2.59-3.83),390,95.12,4.32 (4.13-4.51)
GABA neurons expressing GABA receptors 13,417,0.107,12.0,213,37,17.37,2.39 (1.81-2.96),176,82.63,4.13 (3.90-4.37)
endothelial cells 9,916,0.534,94.0,302,18,5.96,3.86 (2.86-4.86),284,94.04,3.99 (3.76-4.22)
oligodendrocytes 20,938,0.197,79.0,169,23,13.61,3.21 (2.48-3.94),146,86.39,3.53 (3.31-3.75)
GABA like neurons 14,2402,0.492,88.0,455,44,9.67,2.62 (2.06-3.17),411,90.33,4.60 (4.42-4.78)
astrocytes 8,603,0.216,91.0,89,20,22.47,2.59 (2.01-3.17),69,77.53,2.83 (2.39-3.28)
oligodendrocyte progenitor cells 12,1049,0.445,98.0,235,19,8.09,4.16 (3.37-4.95),216,91.91,3.79 (3.55-4.03)
oligodendrocytes 10,483,0.422,92.0,129,16,12.4,4.52 (3.71-5.32),113,87.6,3.25 (2.82-3.67)
connective tissue cells 21,301,0.288,26.0,158,23,14.56,3.52 (2.69-4.35),135,85.44,4.43 (4.03-4.84)
astrocytes 15,458,0.13,67.0,36,3,8.33,4.13 (2.88-5.38),33,91.67,3.71 (2.48-4.95)
oligodendrocytes 16,96,0.29,77.0,102,38,37.25,2.79 (2.21-3.38),64,62.75,3.76 (3.43-4.10)
da neurons 6,729,0.227,83.0,182,24,13.19,3.52 (2.75-4.29),158,86.81,3.66 (3.39-3.92)
astrocytes microglia 23,137,0.395,64.0,188,41,21.81,2.75 (2.20-3.31),147,78.19,4.99 (4.65-5.34)
astrocytes 4,208,0.204,55.0,173,16,9.25,4.74 (3.74-5.74),157,90.75,3.67 (3.36-3.97)
oligodendrocytes 0,546,0.232,75.0,252,42,16.67,2.63 (2.05-3.20),210,83.33,4.48 (4.24-4.72)
microglia 1,406,0.533,92.0,278,12,4.32,4.09 (3.28-4.89),266,95.68,4.38 (4.09-4.66)
oligodendrocytes 3,303,0.217,78.0,154,15,9.74,4.54 (3.68-5.41),139,90.26,3.51 (3.17-3.84)
oligodendrocytes 2,526,0.311,65.0,213,12,5.63,4.40 (3.43-5.36),201,94.37,3.95 (3.67-4.24)
