tipo_celular,module_size,PTK2_MM,PTK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.182,62.0,32,3,9.38,4.10 (2.67-5.53),29,90.62,3.68 (2.81-4.54)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.122,15.0,98,25,25.51,5.44 (4.29-6.60),73,74.49,4.36 (3.97-4.76)
oligodendrocyte progenitor cells 7,229.0,0.07,6.0,45,9,20.0,5.24 (4.90-5.58),36,80.0,4.94 (4.14-5.73)
GABA neurons expressing GLU receptors 22,567.0,0.207,55.0,16,4,25.0,2.91 (1.29-4.54),12,75.0,1.72 (1.02-2.41)
GLU like neurons 17,637.0,0.19,61.0,91,35,38.46,3.05 (2.24-3.87),56,61.54,5.60 (5.15-6.05)
da like neurons 11,197.0,0.265,66.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,288.0,0.269,79.0,93,51,54.84,4.79 (4.16-5.43),42,45.16,5.69 (4.93-6.45)
endothelial cells 9,1653.0,0.266,100.0,297,5,1.68,4.58 (2.09-7.06),292,98.32,3.66 (3.45-3.86)
oligodendrocytes 20,676.0,0.308,56.0,110,64,58.18,4.95 (4.40-5.50),46,41.82,5.08 (4.29-5.87)
GABA like neurons 14,1300.0,0.197,46.0,306,104,33.99,4.28 (3.87-4.69),202,66.01,5.69 (5.38-5.99)
astrocytes 8,279.0,0.136,7.0,78,40,51.28,4.09 (3.52-4.65),38,48.72,4.59 (3.99-5.20)
oligodendrocyte progenitor cells 12,708.0,0.126,58.0,32,17,53.12,2.95 (1.48-4.42),15,46.88,3.54 (2.84-4.25)
oligodendrocytes 10,204.0,0.461,56.0,92,16,17.39,6.10 (4.97-7.24),76,82.61,5.59 (5.07-6.11)
connective tissue cells 21,250.0,0.299,46.0,117,50,42.74,4.82 (4.23-5.42),67,57.26,5.94 (5.46-6.41)
astrocytes 15,418.0,0.347,78.0,54,9,16.67,4.29 (2.96-5.61),45,83.33,3.56 (3.11-4.01)
oligodendrocytes 16,287.0,0.089,2.0,105,63,60.0,4.73 (4.14-5.32),42,40.0,5.94 (5.58-6.29)
da neurons 6,398.0,0.362,91.0,138,72,52.17,4.25 (3.79-4.72),66,47.83,5.56 (5.03-6.10)
astrocytes microglia 23,141.0,0.237,45.0,30,20,66.67,5.60 (4.48-6.71),10,33.33,5.89 (4.78-6.99)
astrocytes 4,220.0,0.139,32.0,63,30,47.62,4.43 (3.66-5.19),33,52.38,5.89 (5.17-6.61)
oligodendrocytes 0,479.0,0.297,97.0,40,17,42.5,6.04 (5.09-7.00),23,57.5,5.72 (5.17-6.28)
microglia 1,813.0,0.204,93.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,1003.0,0.201,95.0,111,2,1.8,2.71 (NA-NA),109,98.2,3.31 (2.96-3.65)
oligodendrocytes 2,237.0,0.371,92.0,26,4,15.38,NA,22,84.62,5.22 (4.28-6.15)
