tipo_celular,module_size,PSMC6_MM,PSMC6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.276,83.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,506,0.071,4.0,225,24,10.67,2.85 (2.27-3.44),201,89.33,3.72 (3.45-3.99)
astrocytes 5,1656,0.12,58.0,136,6,4.41,1.97 (1.31-2.62),130,95.59,3.27 (3.00-3.55)
oligodendrocyte progenitor cells 7,4285,0.123,30.0,353,68,19.26,2.36 (2.08-2.64),285,80.74,4.40 (4.22-4.58)
GABA neurons expressing GLU receptors 22,848,0.209,49.0,262,31,11.83,3.05 (2.57-3.52),231,88.17,4.35 (4.08-4.61)
GLU like neurons 17,1316,0.151,73.0,101,2,1.98,3.45 (2.28-4.62),99,98.02,3.04 (2.68-3.40)
da like neurons 11,1220,0.116,22.0,410,35,8.54,3.59 (3.11-4.08),375,91.46,4.32 (4.12-4.52)
GABA neurons expressing GABA receptors 13,80,0.224,85.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385,0.111,57.0,275,73,26.55,2.50 (2.22-2.78),202,73.45,4.78 (4.49-5.07)
oligodendrocytes 20,275,0.208,54.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29)
GABA like neurons 14,2402,0.225,49.0,455,58,12.75,2.97 (2.50-3.44),397,87.25,4.59 (4.40-4.78)
astrocytes 8,520,0.073,26.0,288,34,11.81,3.37 (2.93-3.81),254,88.19,4.29 (4.07-4.50)
oligodendrocyte progenitor cells 12,3303,0.105,79.0,276,62,22.46,2.55 (2.28-2.82),214,77.54,3.95 (3.69-4.21)
oligodendrocytes 10,806,0.093,24.0,261,10,3.83,3.20 (2.20-4.19),251,96.17,4.40 (4.16-4.65)
connective tissue cells 21,111,0.273,40.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768,0.088,51.0,105,31,29.52,2.47 (2.01-2.93),74,70.48,3.56 (3.14-3.98)
oligodendrocytes 16,122,0.217,58.0,11,4,36.36,3.11 (2.97-3.25),7,63.64,4.03 (3.28-4.78)
da neurons 6,409,0.111,42.0,235,18,7.66,2.86 (2.24-3.48),217,92.34,4.08 (3.81-4.34)
astrocytes microglia 23,42,0.275,30.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.144,49.0,104,32,30.77,2.09 (1.70-2.48),72,69.23,3.25 (2.91-3.59)
oligodendrocytes 0,2078,0.117,56.0,238,18,7.56,2.73 (2.18-3.28),220,92.44,3.71 (3.48-3.95)
microglia 1,958,0.065,2.0,290,18,6.21,2.69 (2.12-3.25),272,93.79,3.91 (3.67-4.15)
oligodendrocytes 3,457,0.065,18.0,345,32,9.28,3.61 (3.24-3.97),313,90.72,4.35 (4.13-4.58)
oligodendrocytes 2,921,0.121,24.0,200,9,4.5,3.17 (2.43-3.91),191,95.5,3.65 (3.37-3.93)
