tipo_celular,module_size,FOXN3_MM,FOXN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.245,55.0,140,5,3.57,2.19 (1.84-2.53),135,96.43,4.66 (4.38-4.94)
T cells 18,388,0.142,45.0,84,8,9.52,2.52 (2.17-2.86),76,90.48,3.02 (2.66-3.38)
astrocytes 5,222,0.241,66.0,98,1,1.02,0.79 (NA-NA),97,98.98,4.65 (4.24-5.05)
oligodendrocyte progenitor cells 7,436,0.143,59.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,192,0.107,34.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71)
GLU like neurons 17,1247,0.137,52.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,408,0.167,49.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04)
GABA neurons expressing GABA receptors 13,288,0.15,40.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80)
endothelial cells 9,658,0.241,63.0,120,6,5.0,2.44 (1.87-3.01),114,95.0,4.74 (4.42-5.05)
oligodendrocytes 20,233,0.159,31.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,1300,0.222,57.0,306,11,3.59,1.87 (1.26-2.49),295,96.41,5.27 (5.02-5.53)
astrocytes 8,279,0.333,82.0,78,7,8.97,2.45 (1.97-2.93),71,91.03,4.53 (4.11-4.96)
oligodendrocyte progenitor cells 12,254,0.333,66.0,37,3,8.11,2.38 (2.30-2.46),34,91.89,4.72 (4.14-5.30)
oligodendrocytes 10,2107,0.477,100.0,358,62,17.32,2.24 (1.93-2.55),296,82.68,4.36 (4.17-4.54)
connective tissue cells 21,84,0.297,63.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,208,0.489,89.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,108,0.228,71.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,398,0.225,75.0,138,11,7.97,1.68 (1.02-2.34),127,92.03,5.15 (4.80-5.50)
astrocytes microglia 23,229,0.387,78.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,251,0.118,14.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06)
oligodendrocytes 0,479,0.162,59.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,315,0.303,91.0,144,1,0.69,1.62 (NA-NA),143,99.31,4.48 (4.18-4.79)
oligodendrocytes 3,1003,0.148,84.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348,0.135,16.0,114,1,0.88,3.70 (NA-NA),113,99.12,5.13 (4.72-5.55)
