tipo_celular,module_size,NRXN3_MM,NRXN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.561,95.0,15,5,33.33,6.20 (5.24-7.16),10,66.67,5.45 (4.46-6.44)
T cells 18,349,0.454,91.0,68,19,27.94,4.79 (3.59-6.00),49,72.06,4.13 (3.59-4.66)
astrocytes 5,499,0.217,82.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,229,0.057,4.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,459,0.409,98.0,165,23,13.94,3.09 (2.28-3.90),142,86.06,5.44 (5.10-5.77)
GLU like neurons 17,795,0.387,98.0,80,7,8.75,3.14 (1.94-4.35),73,91.25,5.82 (5.42-6.22)
da like neurons 11,191,0.557,98.0,93,26,27.96,5.26 (4.38-6.13),67,72.04,5.82 (5.39-6.25)
GABA neurons expressing GABA receptors 13,357,0.248,81.0,237,1,0.42,3.22 (NA-NA),236,99.58,4.41 (4.18-4.65)
endothelial cells 9,450,0.471,85.0,74,16,21.62,6.07 (4.94-7.21),58,78.38,5.24 (4.62-5.87)
oligodendrocytes 20,676,0.392,67.0,110,26,23.64,4.78 (3.80-5.76),84,76.36,5.08 (4.59-5.57)
GABA like neurons 14,1300,0.171,32.0,306,51,16.67,3.95 (3.21-4.69),255,83.33,5.36 (5.10-5.62)
astrocytes 8,771,0.522,94.0,48,7,14.58,6.85 (4.45-9.25),41,85.42,3.99 (3.30-4.68)
oligodendrocyte progenitor cells 12,708,0.182,73.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204,0.387,34.0,92,4,4.35,3.58 (2.38-4.79),88,95.65,5.86 (5.39-6.34)
connective tissue cells 21,250,0.415,72.0,117,37,31.62,4.64 (3.83-5.45),80,68.38,5.75 (5.35-6.15)
astrocytes 15,458,0.286,91.0,36,5,13.89,8.14 (7.87-8.41),31,86.11,2.61 (1.87-3.36)
oligodendrocytes 16,149,0.125,12.0,70,5,7.14,8.28 (NA-NA),65,92.86,5.60 (5.12-6.07)
da neurons 6,518,0.232,98.0,122,19,15.57,4.94 (3.53-6.36),103,84.43,3.79 (3.43-4.15)
astrocytes microglia 23,63,0.342,67.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,102,0.308,79.0,42,1,2.38,3.22 (NA-NA),41,97.62,5.77 (5.06-6.49)
oligodendrocytes 0,479,0.317,98.0,40,14,35.0,6.34 (5.17-7.50),26,65.0,5.62 (5.13-6.10)
microglia 1,127,0.368,81.0,24,8,33.33,5.06 (3.76-6.36),16,66.67,5.25 (4.41-6.08)
oligodendrocytes 3,99,0.252,65.0,24,8,33.33,7.63 (6.86-8.39),16,66.67,5.70 (4.98-6.42)
oligodendrocytes 2,237,0.283,75.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
