tipo_celular,module_size,TNPO1_MM,TNPO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.147,41.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,518,0.147,45.0,131,1,0.76,NA,130,99.24,3.07 (2.80-3.35)
astrocytes 5,1141,0.141,64.0,166,7,4.22,2.38 (0.73-4.03),159,95.78,3.44 (3.20-3.69)
oligodendrocyte progenitor cells 7,4285,0.146,67.0,353,34,9.63,2.55 (1.98-3.13),319,90.37,4.05 (3.87-4.24)
GABA neurons expressing GLU receptors 22,823,0.281,93.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1316,0.096,24.0,101,1,0.99,4.19 (NA-NA),100,99.01,3.04 (2.68-3.39)
da like neurons 11,137,0.425,92.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,357,0.14,37.0,237,10,4.22,4.28 (3.78-4.77),227,95.78,4.41 (4.17-4.66)
endothelial cells 9,658,0.099,12.0,120,1,0.83,2.00 (NA-NA),119,99.17,4.63 (4.32-4.95)
oligodendrocytes 20,221,0.142,25.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,1300,0.125,15.0,306,9,2.94,2.56 (1.70-3.42),297,97.06,5.21 (4.95-5.47)
astrocytes 8,771,0.094,39.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303,0.181,100.0,276,25,9.06,3.03 (2.42-3.63),251,90.94,3.60 (3.36-3.83)
oligodendrocytes 10,2107,0.134,45.0,358,32,8.94,2.48 (1.89-3.07),326,91.06,4.02 (3.83-4.22)
connective tissue cells 21,82,0.212,14.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,1768,0.086,50.0,105,16,15.24,2.82 (2.06-3.57),89,84.76,3.29 (2.92-3.66)
oligodendrocytes 16,65,0.152,25.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.124,63.0,122,27,22.13,2.61 (2.02-3.21),95,77.87,4.41 (3.98-4.85)
astrocytes microglia 23,255,0.154,2.0,57,3,5.26,2.74 (2.51-2.97),54,94.74,2.65 (2.26-3.03)
astrocytes 4,752,0.141,33.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186,0.163,79.0,300,2,0.67,3.61 (0.57-6.65),298,99.33,3.79 (3.59-4.00)
microglia 1,1615,0.182,98.0,161,15,9.32,1.25 (0.72-1.78),146,90.68,3.53 (3.27-3.79)
oligodendrocytes 3,854,0.114,75.0,76,6,7.89,2.41 (0.66-4.15),70,92.11,2.81 (2.48-3.14)
oligodendrocytes 2,921,0.148,69.0,200,19,9.5,3.84 (3.36-4.32),181,90.5,3.60 (3.32-3.89)
