tipo_celular,module_size,GBF1_MM,GBF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.168,60.0,71,8,11.27,2.86 (1.57-4.15),63,88.73,2.59 (2.15-3.03)
T cells 18,624,0.161,57.0,142,4,2.82,4.09 (2.25-5.93),138,97.18,3.18 (2.91-3.45)
astrocytes 5,932,0.106,45.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.125,33.0,353,51,14.45,3.15 (2.66-3.64),302,85.55,4.06 (3.87-4.25)
GABA neurons expressing GLU receptors 22,599,0.136,15.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,380,0.204,74.0,39,7,17.95,3.75 (2.43-5.06),32,82.05,2.78 (2.18-3.38)
da like neurons 11,172,0.478,99.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,288,0.095,7.0,93,14,15.05,3.24 (2.26-4.22),79,84.95,5.53 (5.03-6.04)
endothelial cells 9,1653,0.191,87.0,297,10,3.37,5.03 (3.60-6.45),287,96.63,3.62 (3.42-3.83)
oligodendrocytes 20,250,0.299,80.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2090,0.267,96.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266,0.148,87.0,66,17,25.76,2.20 (1.38-3.02),49,74.24,3.66 (3.24-4.08)
oligodendrocyte progenitor cells 12,3303,0.091,66.0,276,28,10.14,3.07 (2.51-3.63),248,89.86,3.61 (3.38-3.85)
oligodendrocytes 10,2107,0.062,10.0,358,46,12.85,2.84 (2.31-3.37),312,87.15,4.06 (3.87-4.26)
connective tissue cells 21,96,0.285,49.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768,0.161,95.0,105,16,15.24,2.34 (1.69-3.00),89,84.76,3.38 (3.01-3.75)
oligodendrocytes 16,84,0.158,33.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50)
da neurons 6,300,0.138,43.0,159,5,3.14,5.71 (4.34-7.08),154,96.86,4.31 (3.99-4.62)
astrocytes microglia 23,190,0.316,78.0,7,1,14.29,NA,6,85.71,4.84 (3.75-5.92)
astrocytes 4,171,0.108,8.0,22,1,4.55,4.56 (NA-NA),21,95.45,4.54 (3.56-5.52)
oligodendrocytes 0,1186,0.124,20.0,300,11,3.67,4.15 (2.93-5.37),289,96.33,3.78 (3.57-3.99)
microglia 1,813,0.125,60.0,79,5,6.33,2.90 (2.07-3.73),74,93.67,3.12 (2.69-3.55)
oligodendrocytes 3,639,0.084,41.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,407,0.141,34.0,122,15,12.3,1.62 (0.92-2.32),107,87.7,3.65 (3.24-4.05)
