tipo_celular,module_size,CLU_MM,CLU_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.312,85.0,140,27,19.29,5.11 (4.02-6.20),113,80.71,4.36 (3.91-4.81)
T cells 18,282,0.282,95.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,328,0.588,100.0,128,19,14.84,4.90 (4.18-5.63),109,85.16,3.30 (2.94-3.65)
oligodendrocyte progenitor cells 7,628,0.339,93.0,164,23,14.02,4.34 (3.50-5.19),141,85.98,4.03 (3.67-4.38)
GABA neurons expressing GLU receptors 22,599,0.31,87.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,685,0.218,81.0,135,66,48.89,3.10 (2.70-3.49),69,51.11,3.29 (2.82-3.77)
da like neurons 11,1220,0.308,82.0,410,89,21.71,4.00 (3.64-4.37),321,78.29,4.32 (4.11-4.54)
GABA neurons expressing GABA receptors 13,357,0.288,88.0,237,34,14.35,5.23 (4.58-5.88),203,85.65,4.26 (4.02-4.50)
endothelial cells 9,916,0.286,69.0,302,33,10.93,4.03 (3.20-4.87),269,89.07,3.97 (3.74-4.20)
oligodendrocytes 20,938,0.383,99.0,169,54,31.95,3.28 (2.90-3.66),115,68.05,3.57 (3.30-3.83)
GABA like neurons 14,2402,0.601,95.0,455,107,23.52,3.64 (3.26-4.03),348,76.48,4.61 (4.41-4.81)
astrocytes 8,603,0.313,98.0,89,15,16.85,2.18 (1.29-3.07),74,83.15,2.88 (2.50-3.26)
oligodendrocyte progenitor cells 12,138,0.478,60.0,5,4,80.0,4.33 (4.33-4.33),1,20.0,NA
oligodendrocytes 10,806,0.267,73.0,261,47,18.01,3.61 (3.00-4.23),214,81.99,4.51 (4.25-4.77)
connective tissue cells 21,301,0.386,54.0,158,37,23.42,3.75 (3.19-4.30),121,76.58,4.40 (3.96-4.84)
astrocytes 15,1401,0.102,65.0,96,17,17.71,3.30 (2.63-3.97),79,82.29,3.70 (3.16-4.24)
oligodendrocytes 16,313,0.175,31.0,291,53,18.21,4.05 (3.51-4.60),238,81.79,4.39 (4.14-4.63)
da neurons 6,409,0.152,63.0,235,33,14.04,3.48 (2.85-4.11),202,85.96,4.05 (3.78-4.32)
astrocytes microglia 23,137,0.281,23.0,188,34,18.09,2.69 (2.11-3.27),154,81.91,4.88 (4.53-5.24)
astrocytes 4,208,0.528,97.0,173,29,16.76,4.54 (4.04-5.03),144,83.24,3.65 (3.31-3.99)
oligodendrocytes 0,546,0.249,79.0,252,89,35.32,3.49 (3.01-3.97),163,64.68,4.44 (4.18-4.70)
microglia 1,214,0.223,63.0,227,35,15.42,4.12 (3.33-4.92),192,84.58,4.09 (3.84-4.33)
oligodendrocytes 3,303,0.234,83.0,154,3,1.95,6.68 (5.75-7.62),151,98.05,3.54 (3.23-3.85)
oligodendrocytes 2,526,0.486,91.0,213,16,7.51,5.07 (4.05-6.09),197,92.49,3.87 (3.59-4.15)
