tipo_celular,module_size,ATP2B1_MM,ATP2B1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.104,2.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,610,0.16,57.0,98,18,18.37,1.41 (0.94-1.88),80,81.63,3.56 (3.25-3.86)
astrocytes 5,1141,0.177,94.0,166,24,14.46,2.34 (1.86-2.83),142,85.54,3.61 (3.34-3.88)
oligodendrocyte progenitor cells 7,448,0.137,48.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,714,0.198,59.0,17,7,41.18,2.52 (2.09-2.95),10,58.82,2.16 (1.20-3.12)
GLU like neurons 17,1316,0.164,80.0,101,3,2.97,4.05 (2.51-5.60),98,97.03,3.01 (2.66-3.37)
da like neurons 11,265,0.174,44.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,90,0.113,13.0,4,1,25.0,2.24 (NA-NA),3,75.0,6.38 (3.80-8.96)
endothelial cells 9,1653,0.105,31.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,322,0.081,30.0,10,1,10.0,5.51 (NA-NA),9,90.0,0.95 (0.38-1.52)
GABA like neurons 14,2402,0.095,7.0,455,45,9.89,2.50 (1.98-3.03),410,90.11,4.55 (4.37-4.74)
astrocytes 8,260,0.164,71.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,138,0.471,55.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,2107,0.132,44.0,358,38,10.61,1.93 (1.54-2.33),320,89.39,4.18 (4.00-4.37)
connective tissue cells 21,125,0.342,70.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,443,0.141,40.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,92,0.195,39.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448,0.232,98.0,43,4,9.3,3.79 (3.71-3.88),39,90.7,3.21 (2.63-3.80)
astrocytes microglia 23,157,0.24,9.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255,0.13,15.0,12,1,8.33,5.51 (NA-NA),11,91.67,4.44 (3.48-5.41)
oligodendrocytes 0,2078,0.132,86.0,238,6,2.52,2.41 (1.37-3.46),232,97.48,3.67 (3.45-3.90)
microglia 1,480,0.182,46.0,163,2,1.23,1.94 (NA-NA),161,98.77,3.72 (3.45-3.99)
oligodendrocytes 3,1003,0.095,49.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921,0.132,41.0,200,10,5.0,4.30 (2.85-5.75),190,95.0,3.58 (3.31-3.84)
