tipo_celular,module_size,TLK1_MM,TLK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.224,52.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,477,0.271,93.0,43,2,4.65,3.39 (3.06-3.72),41,95.35,1.95 (1.43-2.47)
astrocytes 5,1141,0.136,57.0,166,22,13.25,2.41 (1.85-2.97),144,86.75,3.58 (3.31-3.85)
oligodendrocyte progenitor cells 7,4285,0.144,63.0,353,53,15.01,2.57 (2.23-2.91),300,84.99,4.21 (4.01-4.40)
GABA neurons expressing GLU receptors 22,599,0.135,14.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08)
GLU like neurons 17,1316,0.075,10.0,101,4,3.96,3.16 (2.46-3.86),97,96.04,3.05 (2.68-3.41)
da like neurons 11,132,0.445,94.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,88,0.257,92.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653,0.166,77.0,297,5,1.68,3.36 (2.66-4.06),292,98.32,3.68 (3.47-3.89)
oligodendrocytes 20,228,0.294,81.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51)
GABA like neurons 14,3052,0.104,20.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,577,0.062,28.0,83,4,4.82,2.38 (1.36-3.40),79,95.18,3.31 (2.84-3.78)
oligodendrocyte progenitor cells 12,3303,0.081,53.0,276,44,15.94,2.73 (2.40-3.06),232,84.06,3.76 (3.51-4.01)
oligodendrocytes 10,2107,0.227,76.0,358,47,13.13,2.40 (2.01-2.80),311,86.87,4.17 (3.98-4.37)
connective tissue cells 21,93,0.309,66.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,338,0.104,14.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,121,0.158,16.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,553,0.112,37.0,124,7,5.65,3.14 (2.07-4.22),117,94.35,4.27 (3.86-4.68)
astrocytes microglia 23,190,0.246,35.0,7,3,42.86,3.92 (3.20-4.64),4,57.14,5.76 (4.31-7.21)
astrocytes 4,752,0.16,60.0,96,6,6.25,3.89 (3.46-4.33),90,93.75,3.24 (2.89-3.59)
oligodendrocytes 0,309,0.102,16.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,1615,0.124,69.0,161,32,19.88,2.27 (1.78-2.77),129,80.12,3.59 (3.30-3.88)
oligodendrocytes 3,242,0.164,66.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347,0.229,65.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
