tipo_celular,module_size,MAP1A_MM,MAP1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.254,74.0,140,30,21.43,4.77 (3.91-5.63),110,78.57,4.44 (3.96-4.92)
T cells 18,282,0.207,66.0,241,15,6.22,5.37 (4.37-6.38),226,93.78,3.95 (3.70-4.21)
astrocytes 5,228,0.307,87.0,266,69,25.94,4.09 (3.61-4.57),197,74.06,4.12 (3.90-4.34)
oligodendrocyte progenitor cells 7,296,0.311,88.0,251,19,7.57,5.13 (4.42-5.83),232,92.43,3.98 (3.73-4.22)
GABA neurons expressing GLU receptors 22,203,0.198,24.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,637,0.138,41.0,91,26,28.57,2.74 (2.04-3.43),65,71.43,5.42 (4.88-5.96)
da like neurons 11,1220,0.339,87.0,410,44,10.73,4.19 (3.66-4.73),366,89.27,4.26 (4.06-4.46)
GABA neurons expressing GABA receptors 13,266,0.514,100.0,118,15,12.71,5.03 (4.14-5.91),103,87.29,4.70 (4.32-5.08)
endothelial cells 9,338,0.373,93.0,191,8,4.19,4.66 (2.90-6.42),183,95.81,3.85 (3.63-4.07)
oligodendrocytes 20,221,0.063,8.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2402,0.138,21.0,455,53,11.65,3.85 (3.27-4.43),402,88.35,4.43 (4.24-4.62)
astrocytes 8,520,0.289,86.0,288,58,20.14,4.11 (3.69-4.53),230,79.86,4.19 (3.96-4.42)
oligodendrocyte progenitor cells 12,708,0.143,64.0,25,3,12.0,1.22 (-0.77-3.20),22,88.0,3.04 (2.01-4.08)
oligodendrocytes 10,806,0.497,95.0,261,53,20.31,5.37 (4.81-5.92),208,79.69,4.11 (3.86-4.37)
connective tissue cells 21,101,0.411,76.0,116,43,37.07,4.38 (3.70-5.07),73,62.93,4.73 (4.20-5.25)
astrocytes 15,367,0.12,35.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,90,0.196,40.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,553,0.373,99.0,124,22,17.74,5.14 (4.10-6.18),102,82.26,4.02 (3.60-4.43)
astrocytes microglia 23,70,0.345,58.0,76,15,19.74,5.30 (4.60-6.00),61,80.26,3.75 (3.15-4.35)
astrocytes 4,157,0.33,84.0,178,51,28.65,4.19 (3.58-4.81),127,71.35,4.12 (3.84-4.41)
oligodendrocytes 0,116,0.242,73.0,169,11,6.51,5.79 (4.44-7.13),158,93.49,4.17 (3.87-4.47)
microglia 1,214,0.348,88.0,227,27,11.89,4.88 (4.28-5.47),200,88.11,3.99 (3.74-4.25)
oligodendrocytes 3,457,0.224,86.0,345,58,16.81,4.29 (3.86-4.71),287,83.19,4.27 (4.03-4.51)
oligodendrocytes 2,528,0.342,90.0,175,11,6.29,4.02 (2.68-5.35),164,93.71,4.41 (4.05-4.77)
