tipo_celular,module_size,ARPC3_MM,ARPC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.072,3.0,98,15,15.31,2.24 (1.34-3.14),83,84.69,3.36 (2.84-3.88)
T cells 18,506,0.237,65.0,225,21,9.33,3.32 (2.41-4.23),204,90.67,3.64 (3.38-3.90)
astrocytes 5,1656,0.107,35.0,136,2,1.47,6.31 (6.31-6.31),134,98.53,3.16 (2.89-3.42)
oligodendrocyte progenitor cells 7,628,0.147,37.0,164,4,2.44,3.67 (2.04-5.30),160,97.56,4.10 (3.76-4.43)
GABA neurons expressing GLU receptors 22,1069,0.17,53.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,637,0.114,28.0,91,20,21.98,2.40 (1.39-3.40),71,78.02,5.26 (4.80-5.73)
da like neurons 11,1220,0.182,51.0,410,13,3.17,2.62 (1.35-3.89),397,96.83,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,417,0.144,38.0,213,25,11.74,1.86 (1.16-2.56),188,88.26,4.00 (3.77-4.24)
endothelial cells 9,916,0.266,65.0,302,11,3.64,2.79 (1.69-3.88),291,96.36,4.03 (3.80-4.26)
oligodendrocytes 20,938,0.197,79.0,169,15,8.88,2.97 (1.80-4.14),154,91.12,3.52 (3.30-3.74)
GABA like neurons 14,2402,0.317,69.0,455,21,4.62,1.82 (0.98-2.66),434,95.38,4.46 (4.28-4.64)
astrocytes 8,603,0.086,57.0,89,2,2.25,3.83 (2.14-5.53),87,97.75,2.73 (2.37-3.08)
oligodendrocyte progenitor cells 12,1049,0.101,55.0,235,9,3.83,3.13 (2.12-4.15),226,96.17,3.84 (3.61-4.08)
oligodendrocytes 10,483,0.209,72.0,129,8,6.2,4.21 (3.48-4.94),121,93.8,3.39 (2.98-3.80)
connective tissue cells 21,96,0.297,59.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401,0.07,35.0,96,16,16.67,4.46 (3.46-5.46),80,83.33,3.46 (2.97-3.95)
oligodendrocytes 16,122,0.171,24.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,409,0.207,80.0,235,3,1.28,4.46 (3.75-5.17),232,98.72,3.97 (3.71-4.22)
astrocytes microglia 23,43,0.361,53.0,3,0,0.0,NA,3,100.0,1.82 (NA-NA)
astrocytes 4,1807,0.108,5.0,104,6,5.77,0.87 (0.37-1.36),98,94.23,2.99 (2.72-3.27)
oligodendrocytes 0,546,0.122,23.0,252,23,9.13,2.08 (1.26-2.91),229,90.87,4.29 (4.04-4.53)
microglia 1,406,0.183,50.0,278,2,0.72,4.07 (1.91-6.22),276,99.28,4.36 (4.09-4.64)
oligodendrocytes 3,303,0.102,32.0,154,3,1.95,3.83 (2.14-5.53),151,98.05,3.62 (3.29-3.94)
oligodendrocytes 2,526,0.209,32.0,213,1,0.47,2.97 (NA-NA),212,99.53,3.99 (3.71-4.26)
