tipo_celular,module_size,EIF5B_MM,EIF5B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.219,78.0,97,5,5.15,3.63 (2.36-4.90),92,94.85,3.02 (2.61-3.43)
T cells 18,610,0.149,49.0,98,13,13.27,1.58 (1.03-2.13),85,86.73,3.39 (3.06-3.71)
astrocytes 5,1656,0.079,5.0,136,9,6.62,2.31 (1.40-3.23),127,93.38,3.28 (3.00-3.56)
oligodendrocyte progenitor cells 7,4285,0.066,1.0,353,38,10.76,2.27 (1.86-2.67),315,89.24,4.15 (3.97-4.34)
GABA neurons expressing GLU receptors 22,599,0.252,71.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1316,0.131,57.0,101,2,1.98,2.69 (2.37-3.01),99,98.02,3.06 (2.70-3.42)
da like neurons 11,120,0.197,30.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,417,0.093,6.0,213,22,10.33,2.41 (1.75-3.07),191,89.67,3.95 (3.70-4.20)
endothelial cells 9,916,0.2,48.0,302,4,1.32,2.76 (-0.85-6.37),298,98.68,4.00 (3.77-4.22)
oligodendrocytes 20,298,0.148,52.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2402,0.215,46.0,455,39,8.57,2.90 (2.22-3.59),416,91.43,4.49 (4.30-4.67)
astrocytes 8,603,0.08,52.0,89,10,11.24,1.67 (1.03-2.31),79,88.76,2.96 (2.58-3.34)
oligodendrocyte progenitor cells 12,1049,0.047,14.0,235,10,4.26,3.75 (2.81-4.69),225,95.74,3.83 (3.59-4.07)
oligodendrocytes 10,483,0.194,70.0,129,11,8.53,3.84 (2.93-4.76),118,91.47,3.38 (2.96-3.80)
connective tissue cells 21,86,0.281,52.0,7,0,0.0,NA,7,100.0,3.20 (2.46-3.95)
astrocytes 15,1768,0.121,79.0,105,18,17.14,2.06 (1.18-2.94),87,82.86,3.48 (3.14-3.81)
oligodendrocytes 16,82,0.139,12.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729,0.091,18.0,182,10,5.49,2.97 (1.81-4.13),172,94.51,3.68 (3.42-3.94)
astrocytes microglia 23,101,0.249,18.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59)
astrocytes 4,787,0.129,15.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,546,0.089,7.0,252,22,8.73,2.27 (1.64-2.89),230,91.27,4.32 (4.07-4.57)
microglia 1,813,0.107,39.0,79,5,6.33,3.69 (2.27-5.11),74,93.67,3.06 (2.64-3.48)
oligodendrocytes 3,357,0.119,67.0,127,1,0.79,4.17 (NA-NA),126,99.21,3.11 (2.78-3.44)
oligodendrocytes 2,526,0.133,10.0,213,2,0.94,3.96 (NA-NA),211,99.06,3.98 (3.70-4.25)
