tipo_celular,module_size,PNPLA8_MM,PNPLA8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.242,70.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,518,0.146,44.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1141,0.178,95.0,166,7,4.22,1.27 (0.40-2.15),159,95.78,3.50 (3.26-3.75)
oligodendrocyte progenitor cells 7,4285,0.152,75.0,353,35,9.92,2.16 (1.63-2.68),318,90.08,4.11 (3.93-4.29)
GABA neurons expressing GLU receptors 22,567,0.132,20.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,637,0.112,28.0,91,7,7.69,0.47 (0.28-0.65),84,92.31,5.01 (4.56-5.46)
da like neurons 11,140,0.256,64.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,70,0.15,31.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,412,0.239,74.0,141,4,2.84,1.19 (0.61-1.78),137,97.16,3.02 (2.78-3.26)
oligodendrocytes 20,348,0.186,68.0,33,1,3.03,3.09 (NA-NA),32,96.97,2.72 (2.22-3.22)
GABA like neurons 14,3052,0.177,80.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283,0.157,61.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303,0.096,71.0,276,30,10.87,2.71 (2.21-3.21),246,89.13,3.68 (3.45-3.91)
oligodendrocytes 10,806,0.079,17.0,261,20,7.66,2.77 (2.39-3.16),241,92.34,4.55 (4.29-4.80)
connective tissue cells 21,57,0.229,25.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768,0.111,71.0,105,16,15.24,2.20 (1.57-2.83),89,84.76,3.41 (3.05-3.78)
oligodendrocytes 16,158,0.169,29.0,30,0,0.0,NA,30,100.0,2.33 (1.68-2.98)
da neurons 6,553,0.067,4.0,124,3,2.42,2.46 (0.44-4.47),121,97.58,4.24 (3.85-4.64)
astrocytes microglia 23,86,0.283,31.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
astrocytes 4,514,0.202,60.0,95,17,17.89,2.91 (2.28-3.53),78,82.11,3.51 (3.00-4.02)
oligodendrocytes 0,2078,0.146,97.0,238,8,3.36,2.03 (1.13-2.93),230,96.64,3.69 (3.46-3.91)
microglia 1,958,0.156,92.0,290,8,2.76,2.15 (1.32-2.98),282,97.24,3.87 (3.64-4.11)
oligodendrocytes 3,681,0.08,36.0,87,7,8.05,1.15 (0.40-1.89),80,91.95,2.72 (2.45-2.99)
oligodendrocytes 2,921,0.174,93.0,200,4,2.0,1.82 (1.44-2.21),196,98.0,3.67 (3.40-3.94)
