tipo_celular,module_size,COL4A3BP_MM,COL4A3BP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.338,97.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,727,0.167,68.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141,0.161,85.0,166,10,6.02,1.77 (0.99-2.56),156,93.98,3.50 (3.25-3.76)
oligodendrocyte progenitor cells 7,4285,0.164,90.0,353,29,8.22,2.04 (1.61-2.47),324,91.78,4.11 (3.93-4.29)
GABA neurons expressing GLU receptors 22,1069,0.139,30.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316,0.105,34.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,137,0.443,96.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,238,0.187,64.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,1653,0.087,18.0,297,1,0.34,NA,296,99.66,3.67 (3.47-3.88)
oligodendrocytes 20,298,0.013,0.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052,0.231,98.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727,0.098,44.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303,0.201,100.0,276,18,6.52,2.47 (2.06-2.89),258,93.48,3.64 (3.41-3.87)
oligodendrocytes 10,2107,0.085,20.0,358,24,6.7,1.93 (1.44-2.42),334,93.3,4.05 (3.86-4.24)
connective tissue cells 21,111,0.287,50.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,1768,0.158,93.0,105,18,17.14,2.34 (1.84-2.85),87,82.86,3.41 (3.03-3.79)
oligodendrocytes 16,113,0.206,75.0,11,3,27.27,3.82 (3.82-3.82),8,72.73,0.96 (0.19-1.74)
da neurons 6,553,0.171,74.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,255,0.311,86.0,57,4,7.02,2.74 (2.51-2.97),53,92.98,2.65 (2.26-3.03)
astrocytes 4,721,0.131,15.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43)
oligodendrocytes 0,1186,0.145,51.0,300,3,1.0,2.06 (NA-NA),297,99.0,3.80 (3.59-4.01)
microglia 1,346,0.228,83.0,43,4,9.3,4.36 (2.78-5.94),39,90.7,3.73 (3.20-4.26)
oligodendrocytes 3,639,0.097,51.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,804,0.174,72.0,84,4,4.76,1.16 (0.44-1.88),80,95.24,2.79 (2.44-3.13)
