tipo_celular,module_size,SACM1L_MM,SACM1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.211,59.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,518,0.294,98.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656,0.14,86.0,136,7,5.15,3.35 (2.67-4.03),129,94.85,3.20 (2.91-3.48)
oligodendrocyte progenitor cells 7,4285,0.171,94.0,353,32,9.07,2.89 (1.98-3.79),321,90.93,4.00 (3.82-4.18)
GABA neurons expressing GLU receptors 22,714,0.2,60.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1316,0.197,92.0,101,3,2.97,4.14 (0.98-7.30),98,97.03,3.02 (2.67-3.38)
da like neurons 11,1220,0.089,10.0,410,13,3.17,3.13 (2.57-3.69),397,96.83,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,70,0.222,85.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,1653,0.087,17.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,250,0.185,55.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052,0.156,64.0,125,6,4.8,6.40 (5.17-7.63),119,95.2,3.22 (2.92-3.53)
astrocytes 8,354,0.129,55.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303,0.054,20.0,276,28,10.14,4.04 (3.13-4.96),248,89.86,3.48 (3.26-3.70)
oligodendrocytes 10,2107,0.145,50.0,358,15,4.19,1.37 (0.60-2.13),343,95.81,4.01 (3.83-4.19)
connective tissue cells 21,93,0.266,43.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,443,0.185,74.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,92,0.196,41.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,307,0.127,58.0,95,4,4.21,5.64 (NA-NA),91,95.79,4.83 (4.39-5.28)
astrocytes microglia 23,125,0.321,51.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,1807,0.173,93.0,104,15,14.42,2.26 (1.54-2.97),89,85.58,2.97 (2.67-3.28)
oligodendrocytes 0,2078,0.143,96.0,238,3,1.26,2.01 (0.19-3.84),235,98.74,3.66 (3.44-3.88)
microglia 1,958,0.101,34.0,290,2,0.69,3.48 (3.47-3.49),288,99.31,3.82 (3.59-4.05)
oligodendrocytes 3,743,0.094,66.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54)
oligodendrocytes 2,921,0.137,48.0,200,7,3.5,1.77 (1.25-2.29),193,96.5,3.66 (3.39-3.92)
