tipo_celular,module_size,SUCLA2_MM,SUCLA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.193,35.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,610,0.086,8.0,98,17,17.35,1.24 (0.81-1.68),81,82.65,3.57 (3.27-3.86)
astrocytes 5,1656,0.12,57.0,136,1,0.74,1.32 (NA-NA),135,99.26,3.22 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285,0.136,52.0,353,23,6.52,1.56 (1.05-2.06),330,93.48,4.10 (3.93-4.28)
GABA neurons expressing GLU receptors 22,703,0.223,72.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,300,0.177,39.0,16,4,25.0,1.92 (1.18-2.65),12,75.0,2.15 (0.97-3.33)
da like neurons 11,89,0.108,22.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
GABA neurons expressing GABA receptors 13,90,0.251,94.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,338,0.105,35.0,191,1,0.52,3.72 (NA-NA),190,99.48,3.89 (3.66-4.11)
oligodendrocytes 20,271,0.14,35.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402,0.271,60.0,455,33,7.25,2.22 (1.72-2.72),422,92.75,4.55 (4.37-4.73)
astrocytes 8,218,0.202,81.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303,0.094,69.0,276,19,6.88,2.23 (1.65-2.81),257,93.12,3.66 (3.44-3.89)
oligodendrocytes 10,735,0.19,86.0,277,7,2.53,3.66 (3.40-3.93),270,97.47,3.90 (3.65-4.15)
connective tissue cells 21,116,0.2,7.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,458,0.074,37.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,313,0.153,21.0,291,5,1.72,3.12 (1.84-4.40),286,98.28,4.35 (4.13-4.58)
da neurons 6,409,0.277,92.0,235,24,10.21,3.47 (2.87-4.08),211,89.79,4.06 (3.79-4.33)
astrocytes microglia 23,86,0.317,48.0,1,1,100.0,1.71 (NA-NA),0,0.0,NA
astrocytes 4,1807,0.159,77.0,104,15,14.42,1.53 (1.08-1.99),89,85.58,3.11 (2.82-3.40)
oligodendrocytes 0,2078,0.095,15.0,238,5,2.1,2.52 (0.84-4.21),233,97.9,3.66 (3.44-3.89)
microglia 1,1615,0.101,38.0,161,21,13.04,1.30 (0.92-1.68),140,86.96,3.65 (3.39-3.90)
oligodendrocytes 3,743,0.051,9.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921,0.109,11.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90)
