tipo_celular,module_size,APBA1_MM,APBA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.238,80.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.09,7.0,166,5,3.01,1.41 (0.23-2.58),161,96.99,3.47 (3.22-3.72)
oligodendrocyte progenitor cells 7,666.0,0.069,3.0,127,8,6.3,2.26 (1.47-3.05),119,93.7,3.99 (3.65-4.34)
GABA neurons expressing GLU receptors 22,714.0,0.108,10.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,1316.0,0.139,64.0,101,3,2.97,3.52 (2.21-4.83),98,97.03,3.04 (2.68-3.40)
da like neurons 11,145.0,0.402,89.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,288.0,0.137,31.0,93,21,22.58,3.85 (3.02-4.68),72,77.42,5.59 (5.03-6.14)
endothelial cells 9,450.0,0.117,18.0,74,12,16.22,4.81 (3.76-5.85),62,83.78,5.61 (4.98-6.24)
oligodendrocytes 20,298.0,0.202,71.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300.0,0.258,74.0,306,41,13.4,3.31 (2.76-3.86),265,86.6,5.46 (5.19-5.72)
astrocytes 8,520.0,0.049,13.0,288,37,12.85,3.59 (3.18-4.00),251,87.15,4.27 (4.05-4.50)
oligodendrocyte progenitor cells 12,218.0,0.373,83.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,1277.0,0.075,27.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,88.0,0.227,19.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.065,30.0,96,4,4.17,3.35 (2.18-4.51),92,95.83,3.63 (3.16-4.10)
oligodendrocytes 16,121.0,0.179,22.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,307.0,0.119,49.0,95,7,7.37,5.03 (4.60-5.47),88,92.63,4.83 (4.36-5.30)
astrocytes microglia 23,44.0,0.188,5.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25)
astrocytes 4,721.0,0.109,3.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44)
oligodendrocytes 0,479.0,0.141,40.0,40,3,7.5,4.45 (3.53-5.37),37,92.5,6.01 (5.47-6.55)
microglia 1,1615.0,0.104,41.0,161,13,8.07,1.39 (0.70-2.08),148,91.93,3.48 (3.21-3.74)
oligodendrocytes 3,1003.0,0.149,85.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.153,52.0,84,4,4.76,1.16 (0.44-1.88),80,95.24,2.79 (2.44-3.13)
