tipo_celular,module_size,MAPK10_MM,MAPK10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.281,78.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.208,50.0,98,4,4.08,3.95 (1.51-6.40),94,95.92,4.63 (4.22-5.04)
oligodendrocyte progenitor cells 7,200.0,0.107,18.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,459.0,0.132,37.0,165,8,4.85,1.89 (1.32-2.47),157,95.15,5.30 (4.98-5.63)
GLU like neurons 17,795.0,0.133,52.0,80,4,5.0,3.30 (2.43-4.17),76,95.0,5.86 (5.46-6.26)
da like neurons 11,153.0,0.419,94.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,238.0,0.253,85.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,586.0,0.459,86.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,228.0,0.143,27.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA)
GABA like neurons 14,1300.0,0.244,67.0,306,25,8.17,2.84 (2.28-3.40),281,91.83,5.39 (5.13-5.65)
astrocytes 8,727.0,0.356,100.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,411.0,0.309,74.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,130.0,0.351,38.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,114.0,0.279,62.0,19,3,15.79,3.12 (1.99-4.25),16,84.21,5.13 (4.42-5.85)
astrocytes 15,418.0,0.199,60.0,54,2,3.7,2.49 (0.14-4.85),52,96.3,3.73 (3.29-4.18)
oligodendrocytes 16,149.0,0.258,64.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,553.0,0.237,91.0,124,7,5.65,3.14 (2.07-4.22),117,94.35,4.27 (3.86-4.68)
astrocytes microglia 23,166.0,0.412,88.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,255.0,0.21,72.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,309.0,0.109,24.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,127.0,0.189,52.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12)
oligodendrocytes 3,854.0,0.131,84.0,76,8,10.53,3.40 (2.43-4.37),68,89.47,2.70 (2.35-3.05)
oligodendrocytes 2,347.0,0.327,89.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
