tipo_celular,module_size,FBXO11_MM,FBXO11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.115,21.0,71,5,7.04,2.19 (1.08-3.29),66,92.96,2.66 (2.22-3.10)
T cells 18,624,0.131,31.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,932,0.113,56.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,448,0.146,53.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,1069,0.123,20.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,685,0.178,70.0,135,18,13.33,2.42 (1.71-3.13),117,86.67,3.33 (3.00-3.66)
da like neurons 11,102,0.46,98.0,8,8,100.0,2.36 (0.98-3.74),0,0.0,NA
GABA neurons expressing GABA receptors 13,93,0.162,57.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,412,0.189,54.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,298,0.178,65.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300,0.213,53.0,306,9,2.94,1.93 (1.12-2.75),297,97.06,5.24 (4.98-5.49)
astrocytes 8,577,0.053,21.0,83,4,4.82,2.38 (1.36-3.40),79,95.18,3.31 (2.84-3.78)
oligodendrocyte progenitor cells 12,138,0.495,70.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,2107,0.266,84.0,358,57,15.92,2.40 (2.00-2.80),301,84.08,4.19 (4.00-4.39)
connective tissue cells 21,82,0.261,44.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,1768,0.032,4.0,105,27,25.71,2.50 (2.04-2.96),78,74.29,3.49 (3.07-3.90)
oligodendrocytes 16,71,0.105,3.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,398,0.136,45.0,138,11,7.97,1.92 (1.13-2.72),127,92.03,5.13 (4.77-5.48)
astrocytes microglia 23,229,0.131,1.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,752,0.118,8.0,96,8,8.33,3.60 (1.91-5.28),88,91.67,3.27 (2.93-3.60)
oligodendrocytes 0,1186,0.173,89.0,300,1,0.33,NA,299,99.67,3.79 (3.59-4.00)
microglia 1,315,0.161,44.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,1003,0.128,76.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65)
oligodendrocytes 2,407,0.18,73.0,122,24,19.67,1.55 (1.11-1.98),98,80.33,3.89 (3.48-4.30)
