tipo_celular,module_size,UBE2B_MM,UBE2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.249,72.0,102,32,31.37,2.64 (2.17-3.10),70,68.63,3.87 (3.41-4.32)
T cells 18,518,0.134,34.0,131,2,1.53,2.77 (1.34-4.20),129,98.47,3.08 (2.80-3.36)
astrocytes 5,423,0.323,96.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666,0.192,67.0,127,18,14.17,2.36 (1.87-2.85),109,85.83,4.14 (3.79-4.50)
GABA neurons expressing GLU receptors 22,848,0.181,38.0,262,25,9.54,3.40 (2.75-4.05),237,90.46,4.25 (3.99-4.52)
GLU like neurons 17,1316,0.172,85.0,101,5,4.95,3.19 (2.31-4.07),96,95.05,3.05 (2.68-3.41)
da like neurons 11,1220,0.107,18.0,410,23,5.61,3.41 (2.85-3.97),387,94.39,4.31 (4.11-4.50)
GABA neurons expressing GABA receptors 13,93,0.129,24.0,2,2,100.0,NA,0,0.0,NA
endothelial cells 9,385,0.079,21.0,275,47,17.09,2.29 (1.90-2.69),228,82.91,4.45 (4.18-4.72)
oligodendrocytes 20,298,0.199,70.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2402,0.205,43.0,455,39,8.57,2.63 (2.11-3.15),416,91.43,4.56 (4.37-4.75)
astrocytes 8,577,0.252,97.0,83,5,6.02,3.01 (1.55-4.46),78,93.98,3.27 (2.80-3.74)
oligodendrocyte progenitor cells 12,3303,0.071,40.0,276,52,18.84,2.71 (2.35-3.06),224,81.16,3.78 (3.53-4.02)
oligodendrocytes 10,735,0.103,54.0,277,2,0.72,5.17 (5.12-5.21),275,99.28,3.88 (3.64-4.12)
connective tissue cells 21,301,0.248,15.0,158,9,5.7,2.52 (1.33-3.70),149,94.3,4.37 (4.00-4.75)
astrocytes 15,443,0.159,56.0,9,7,77.78,3.73 (2.40-5.05),2,22.22,1.89 (-1.31-5.09)
oligodendrocytes 16,90,0.187,40.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729,0.113,31.0,182,2,1.1,1.57 (1.57-1.57),180,98.9,3.66 (3.41-3.92)
astrocytes microglia 23,327,0.342,54.0,120,28,23.33,2.23 (1.79-2.67),92,76.67,4.10 (3.80-4.41)
astrocytes 4,514,0.417,95.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,1186,0.162,79.0,300,13,4.33,3.48 (2.94-4.02),287,95.67,3.81 (3.60-4.02)
microglia 1,958,0.137,82.0,290,26,8.97,2.76 (2.10-3.42),264,91.03,3.91 (3.67-4.15)
oligodendrocytes 3,1003,0.076,28.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65)
oligodendrocytes 2,921,0.133,42.0,200,6,3.0,2.89 (2.47-3.30),194,97.0,3.65 (3.38-3.92)
