tipo_celular,module_size,MAP2K2_MM,MAP2K2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.216,44.0,98,11,11.22,2.08 (1.29-2.88),87,88.78,3.38 (2.87-3.90)
T cells 18,393,0.161,56.0,59,2,3.39,3.09 (2.64-3.53),57,96.61,3.11 (2.59-3.63)
astrocytes 5,228,0.105,12.0,266,45,16.92,3.02 (2.56-3.48),221,83.08,4.41 (4.19-4.62)
oligodendrocyte progenitor cells 7,296,0.183,53.0,251,6,2.39,4.92 (4.36-5.47),245,97.61,4.03 (3.79-4.28)
GABA neurons expressing GLU receptors 22,487,0.242,61.0,73,6,8.22,2.00 (0.95-3.06),67,91.78,2.83 (2.43-3.24)
GLU like neurons 17,1247,0.054,4.0,51,3,5.88,2.62 (1.48-3.76),48,94.12,3.70 (3.09-4.31)
da like neurons 11,1220,0.243,69.0,410,26,6.34,3.24 (2.69-3.80),384,93.66,4.34 (4.14-4.53)
GABA neurons expressing GABA receptors 13,77,0.158,39.0,8,4,50.0,2.88 (1.39-4.37),4,50.0,3.70 (3.67-3.73)
endothelial cells 9,916,0.158,35.0,302,12,3.97,2.46 (1.60-3.32),290,96.03,4.05 (3.82-4.28)
oligodendrocytes 20,348,0.203,74.0,33,9,27.27,3.65 (3.22-4.09),24,72.73,2.34 (1.74-2.94)
GABA like neurons 14,2402,0.389,78.0,455,44,9.67,2.78 (2.22-3.34),411,90.33,4.57 (4.38-4.75)
astrocytes 8,520,0.125,54.0,288,36,12.5,3.50 (2.95-4.04),252,87.5,4.29 (4.08-4.50)
oligodendrocyte progenitor cells 12,708,0.042,9.0,32,14,43.75,1.75 (0.94-2.56),18,56.25,4.37 (3.40-5.34)
oligodendrocytes 10,735,0.285,99.0,277,1,0.36,4.81 (NA-NA),276,99.64,3.89 (3.65-4.13)
connective tissue cells 21,101,0.26,28.0,116,20,17.24,3.29 (2.67-3.92),96,82.76,5.04 (4.57-5.50)
astrocytes 15,1768,0.097,60.0,105,26,24.76,2.04 (1.66-2.43),79,75.24,3.64 (3.25-4.03)
oligodendrocytes 16,313,0.175,31.0,291,27,9.28,3.42 (2.88-3.96),264,90.72,4.45 (4.21-4.69)
da neurons 6,729,0.148,48.0,182,7,3.85,1.47 (1.37-1.56),175,96.15,3.71 (3.46-3.96)
astrocytes microglia 23,132,0.287,36.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807,0.121,14.0,104,31,29.81,2.20 (1.80-2.60),73,70.19,3.18 (2.83-3.52)
oligodendrocytes 0,546,0.125,24.0,252,33,13.1,2.45 (1.85-3.04),219,86.9,4.41 (4.17-4.66)
microglia 1,214,0.149,37.0,227,11,4.85,3.92 (3.13-4.71),216,95.15,4.10 (3.86-4.35)
oligodendrocytes 3,457,0.091,36.0,345,40,11.59,3.80 (3.35-4.25),305,88.41,4.36 (4.13-4.59)
oligodendrocytes 2,526,0.269,52.0,213,1,0.47,3.96 (NA-NA),212,99.53,3.98 (3.70-4.25)
