tipo_celular,module_size,ASAP1_MM,ASAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.232,78.0,32,7,21.88,4.06 (3.14-4.99),25,78.12,3.60 (2.60-4.61)
T cells 18,624,0.116,22.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,222,0.079,2.0,98,2,2.04,1.43 (0.17-2.69),96,97.96,4.68 (4.28-5.08)
oligodendrocyte progenitor cells 7,4285,0.013,0.0,353,37,10.48,2.60 (2.09-3.11),316,89.52,4.09 (3.90-4.28)
GABA neurons expressing GLU receptors 22,599,0.225,59.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,685,0.116,39.0,135,15,11.11,2.21 (1.57-2.84),120,88.89,3.33 (3.00-3.66)
da like neurons 11,197,0.331,85.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,238,0.109,14.0,36,1,2.78,5.16 (NA-NA),35,97.22,3.83 (3.30-4.37)
endothelial cells 9,658,0.305,79.0,120,10,8.33,4.33 (3.44-5.22),110,91.67,4.64 (4.30-4.97)
oligodendrocytes 20,228,0.203,51.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,1300,0.238,64.0,306,26,8.5,3.14 (2.46-3.81),280,91.5,5.36 (5.10-5.63)
astrocytes 8,279,0.243,37.0,78,2,2.56,1.93 (1.64-2.21),76,97.44,4.39 (3.97-4.80)
oligodendrocyte progenitor cells 12,411,0.359,82.0,103,2,1.94,4.12 (4.12-4.12),101,98.06,5.58 (5.19-5.98)
oligodendrocytes 10,2107,0.198,68.0,358,35,9.78,2.46 (1.91-3.02),323,90.22,4.07 (3.88-4.26)
connective tissue cells 21,147,0.095,1.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,418,0.228,61.0,54,4,7.41,4.20 (2.30-6.09),50,92.59,3.64 (3.18-4.09)
oligodendrocytes 16,199,0.255,92.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,398,0.128,39.0,138,20,14.49,3.05 (2.30-3.80),118,85.51,5.19 (4.81-5.57)
astrocytes microglia 23,141,0.202,19.0,30,3,10.0,1.82 (1.65-1.99),27,90.0,6.27 (5.57-6.97)
astrocytes 4,171,0.118,12.0,22,1,4.55,4.56 (NA-NA),21,95.45,4.54 (3.56-5.52)
oligodendrocytes 0,187,0.258,82.0,14,1,7.14,5.16 (NA-NA),13,92.86,5.56 (4.90-6.22)
microglia 1,346,0.162,58.0,43,1,2.33,4.56 (NA-NA),42,97.67,3.74 (3.23-4.26)
oligodendrocytes 3,854,0.198,99.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,347,0.246,70.0,15,1,6.67,5.21 (NA-NA),14,93.33,4.80 (3.88-5.72)
