tipo_celular,module_size,NAP1L1_MM,NAP1L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.162,24.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,610,0.181,71.0,98,16,16.33,1.28 (0.65-1.91),82,83.67,3.53 (3.24-3.81)
astrocytes 5,1141,0.154,79.0,166,18,10.84,2.02 (1.28-2.76),148,89.16,3.58 (3.33-3.84)
oligodendrocyte progenitor cells 7,4285,0.131,43.0,353,29,8.22,1.72 (1.22-2.23),324,91.78,4.14 (3.96-4.31)
GABA neurons expressing GLU receptors 22,848,0.258,66.0,262,14,5.34,2.48 (1.62-3.34),248,94.66,4.29 (4.05-4.54)
GLU like neurons 17,685,0.107,34.0,135,15,11.11,1.38 (1.05-1.71),120,88.89,3.46 (3.15-3.78)
da like neurons 11,265,0.176,46.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,266,0.166,56.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,385,0.082,25.0,275,27,9.82,1.57 (1.19-1.95),248,90.18,4.33 (4.08-4.58)
oligodendrocytes 20,271,0.025,2.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402,0.227,50.0,455,18,3.96,1.45 (0.92-1.98),437,96.04,4.51 (4.33-4.69)
astrocytes 8,260,0.133,56.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303,0.104,78.0,276,21,7.61,1.81 (1.33-2.30),255,92.39,3.72 (3.50-3.94)
oligodendrocytes 10,735,0.191,86.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,152,0.214,24.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,367,0.117,33.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,313,0.157,24.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57)
da neurons 6,409,0.081,17.0,235,6,2.55,1.95 (0.79-3.11),229,97.45,4.04 (3.79-4.29)
astrocytes microglia 23,49,0.248,19.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA)
astrocytes 4,721,0.125,10.0,61,5,8.2,2.88 (1.30-4.47),56,91.8,2.97 (2.54-3.40)
oligodendrocytes 0,1186,0.135,34.0,300,3,1.0,2.41 (1.92-2.90),297,99.0,3.81 (3.60-4.02)
microglia 1,346,0.124,33.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,854,0.082,41.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,528,0.123,9.0,175,3,1.71,1.71 (1.27-2.16),172,98.29,4.45 (4.10-4.80)
