tipo_celular,module_size,MTX2_MM,MTX2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249,0.199,77.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,349,0.18,49.0,68,6,8.82,2.98 (1.72-4.24),62,91.18,4.55 (3.96-5.14)
astrocytes 5,1141,0.147,73.0,166,10,6.02,1.54 (0.98-2.11),156,93.98,3.54 (3.28-3.79)
oligodendrocyte progenitor cells 7,4285,0.2,100.0,353,39,11.05,2.27 (1.86-2.68),314,88.95,4.16 (3.98-4.35)
GABA neurons expressing GLU receptors 22,848,0.165,30.0,262,15,5.73,3.22 (2.38-4.05),247,94.27,4.24 (3.99-4.50)
GLU like neurons 17,637,0.107,24.0,91,12,13.19,1.14 (0.64-1.64),79,86.81,5.28 (4.86-5.70)
da like neurons 11,132,0.216,45.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,75,0.205,82.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,1653,0.135,55.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,322,0.279,90.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052,0.177,81.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771,0.096,40.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708,0.159,69.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,1277,0.062,18.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,102,0.221,23.0,5,2,40.0,1.57 (1.57-1.57),3,60.0,1.01 (NA-NA)
astrocytes 15,1768,0.047,12.0,105,18,17.14,2.20 (1.66-2.73),87,82.86,3.44 (3.07-3.82)
oligodendrocytes 16,199,0.152,35.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,409,0.071,11.0,235,19,8.09,3.54 (2.97-4.12),216,91.91,4.03 (3.76-4.30)
astrocytes microglia 23,96,0.342,64.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
astrocytes 4,787,0.158,63.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,117,0.188,70.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,1615,0.108,48.0,161,19,11.8,1.43 (0.99-1.87),142,88.2,3.58 (3.32-3.85)
oligodendrocytes 3,854,0.123,80.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804,0.154,53.0,84,6,7.14,1.27 (0.67-1.88),78,92.86,2.83 (2.48-3.17)
