tipo_celular,module_size,GAPDH_MM,GAPDH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.415,95.0,140,43,30.71,5.21 (4.63-5.79),97,69.29,4.19 (3.65-4.73)
T cells 18,282,0.292,86.0,241,43,17.84,4.86 (4.29-5.43),198,82.16,3.88 (3.61-4.15)
astrocytes 5,328,0.43,96.0,128,8,6.25,4.53 (3.89-5.17),120,93.75,3.48 (3.12-3.84)
oligodendrocyte progenitor cells 7,628,0.473,99.0,164,5,3.05,3.44 (2.30-4.57),159,96.95,4.11 (3.78-4.45)
GABA neurons expressing GLU receptors 22,848,0.508,99.0,262,34,12.98,3.57 (2.96-4.17),228,87.02,4.27 (4.00-4.53)
GLU like neurons 17,685,0.213,79.0,135,52,38.52,2.66 (2.29-3.03),83,61.48,3.56 (3.13-3.99)
da like neurons 11,1220,0.7,100.0,410,56,13.66,3.91 (3.54-4.28),354,86.34,4.31 (4.10-4.52)
GABA neurons expressing GABA receptors 13,417,0.481,100.0,213,50,23.47,2.77 (2.32-3.22),163,76.53,4.15 (3.89-4.41)
endothelial cells 9,916,0.609,98.0,302,28,9.27,3.55 (3.08-4.01),274,90.73,4.04 (3.80-4.29)
oligodendrocytes 20,938,0.361,98.0,169,37,21.89,3.33 (2.90-3.76),132,78.11,3.53 (3.27-3.78)
GABA like neurons 14,2402,0.798,100.0,455,63,13.85,3.25 (2.78-3.72),392,86.15,4.57 (4.37-4.76)
astrocytes 8,520,0.468,98.0,288,45,15.62,3.73 (3.25-4.21),243,84.38,4.26 (4.04-4.48)
oligodendrocyte progenitor cells 12,1049,0.549,100.0,235,28,11.91,3.95 (3.59-4.31),207,88.09,3.80 (3.54-4.07)
oligodendrocytes 10,806,0.618,99.0,261,24,9.2,3.54 (3.03-4.05),237,90.8,4.44 (4.19-4.70)
connective tissue cells 21,301,0.609,94.0,158,21,13.29,3.73 (2.96-4.49),137,86.71,4.37 (3.96-4.79)
astrocytes 15,458,0.114,61.0,36,1,2.78,NA,35,97.22,3.77 (2.68-4.85)
oligodendrocytes 16,313,0.466,93.0,291,24,8.25,4.17 (3.43-4.91),267,91.75,4.34 (4.11-4.58)
da neurons 6,409,0.453,100.0,235,41,17.45,4.51 (4.08-4.94),194,82.55,3.81 (3.51-4.10)
astrocytes microglia 23,70,0.523,93.0,76,7,9.21,4.54 (4.12-4.97),69,90.79,4.16 (3.59-4.73)
astrocytes 4,208,0.49,95.0,173,10,5.78,4.18 (3.42-4.94),163,94.22,3.76 (3.45-4.08)
oligodendrocytes 0,546,0.442,99.0,252,53,21.03,2.98 (2.53-3.42),199,78.97,4.48 (4.21-4.75)
microglia 1,214,0.432,93.0,227,34,14.98,3.88 (3.55-4.20),193,85.02,4.13 (3.86-4.41)
oligodendrocytes 3,457,0.445,98.0,345,33,9.57,4.17 (3.54-4.79),312,90.43,4.28 (4.06-4.51)
oligodendrocytes 2,526,0.696,100.0,213,19,8.92,4.09 (3.87-4.32),194,91.08,3.96 (3.66-4.27)
