tipo_celular,module_size,GPHN_MM,GPHN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.183,63.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46)
T cells 18,349,0.135,30.0,68,12,17.65,3.71 (2.54-4.89),56,82.35,4.55 (3.92-5.17)
astrocytes 5,222,0.148,22.0,98,4,4.08,2.82 (-1.17-6.82),94,95.92,4.64 (4.24-5.05)
oligodendrocyte progenitor cells 7,200,0.051,3.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,714,0.173,46.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91)
GLU like neurons 17,685,0.075,13.0,135,13,9.63,2.21 (1.32-3.11),122,90.37,3.32 (3.00-3.63)
da like neurons 11,191,0.266,47.0,93,18,19.35,4.73 (3.82-5.64),75,80.65,5.90 (5.47-6.33)
GABA neurons expressing GABA receptors 13,288,0.402,92.0,93,18,19.35,4.48 (3.26-5.69),75,80.65,5.28 (4.74-5.82)
endothelial cells 9,1653,0.291,100.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,676,0.294,53.0,110,15,13.64,4.99 (3.68-6.30),95,86.36,4.99 (4.51-5.47)
GABA like neurons 14,1300,0.29,85.0,306,33,10.78,4.04 (3.18-4.89),273,89.22,5.25 (4.98-5.52)
astrocytes 8,279,0.097,3.0,78,7,8.97,3.85 (1.69-6.01),71,91.03,4.35 (3.93-4.77)
oligodendrocyte progenitor cells 12,138,0.083,6.0,5,2,40.0,4.33 (4.33-4.33),3,60.0,NA
oligodendrocytes 10,204,0.31,23.0,92,6,6.52,4.44 (2.85-6.04),86,93.48,5.82 (5.34-6.31)
connective tissue cells 21,147,0.272,68.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,418,0.281,68.0,54,7,12.96,4.77 (3.06-6.47),47,87.04,3.53 (3.10-3.95)
oligodendrocytes 16,287,0.191,24.0,105,13,12.38,3.65 (2.47-4.83),92,87.62,5.34 (4.88-5.80)
da neurons 6,398,0.312,88.0,138,15,10.87,4.34 (2.99-5.70),123,89.13,4.88 (4.50-5.26)
astrocytes microglia 23,141,0.224,34.0,30,10,33.33,3.99 (2.26-5.71),20,66.67,6.45 (5.67-7.23)
astrocytes 4,752,0.148,42.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,261,0.094,5.0,42,7,16.67,2.86 (1.57-4.16),35,83.33,4.34 (3.57-5.11)
microglia 1,813,0.151,79.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,242,0.156,61.0,6,2,33.33,7.24 (5.20-9.28),4,66.67,5.36 (5.10-5.61)
oligodendrocytes 2,407,0.212,89.0,122,13,10.66,1.85 (1.11-2.59),109,89.34,3.56 (3.15-3.97)
