tipo_celular,module_size,HADHA_MM,HADHA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.163,24.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,727,0.104,20.0,49,2,4.08,3.04 (2.03-4.05),47,95.92,2.40 (1.99-2.81)
astrocytes 5,932,0.068,3.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285,0.147,68.0,353,31,8.78,2.18 (1.54-2.83),322,91.22,4.11 (3.93-4.28)
GABA neurons expressing GLU receptors 22,714,0.187,53.0,17,4,23.53,2.39 (2.20-2.58),13,76.47,2.28 (1.51-3.05)
GLU like neurons 17,1247,0.094,21.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,61,0.129,25.0,3,2,66.67,NA,1,33.33,3.69 (NA-NA)
GABA neurons expressing GABA receptors 13,77,0.216,75.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.60 (2.98-4.21)
endothelial cells 9,385,0.096,41.0,275,19,6.91,1.39 (0.96-1.82),256,93.09,4.24 (3.98-4.49)
oligodendrocytes 20,938,0.131,52.0,169,12,7.1,2.27 (1.59-2.95),157,92.9,3.59 (3.37-3.82)
GABA like neurons 14,3052,0.081,9.0,125,4,3.2,4.64 (2.26-7.03),121,96.8,3.30 (2.98-3.62)
astrocytes 8,727,0.061,18.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84)
oligodendrocyte progenitor cells 12,3303,0.11,83.0,276,24,8.7,2.90 (2.15-3.65),252,91.3,3.62 (3.40-3.85)
oligodendrocytes 10,483,0.145,60.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,139,0.367,82.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,1401,0.037,7.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.67 (3.21-4.12)
oligodendrocytes 16,66,0.146,10.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,409,0.115,45.0,235,30,12.77,3.16 (2.54-3.78),205,87.23,4.10 (3.83-4.37)
astrocytes microglia 23,127,0.292,37.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,721,0.144,36.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078,0.123,69.0,238,6,2.52,2.54 (1.58-3.51),232,97.48,3.67 (3.45-3.89)
microglia 1,958,0.098,29.0,290,4,1.38,2.52 (1.44-3.61),286,98.62,3.84 (3.61-4.07)
oligodendrocytes 3,854,0.058,13.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,528,0.158,23.0,175,1,0.57,1.29 (NA-NA),174,99.43,4.40 (4.06-4.75)
