tipo_celular,module_size,TOP2B_MM,TOP2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.21,58.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,624,0.229,92.0,142,7,4.93,3.67 (3.15-4.18),135,95.07,3.18 (2.90-3.46)
astrocytes 5,1141,0.143,67.0,166,36,21.69,2.05 (1.76-2.34),130,78.31,3.83 (3.56-4.11)
oligodendrocyte progenitor cells 7,4285,0.161,86.0,353,54,15.3,1.98 (1.69-2.27),299,84.7,4.33 (4.16-4.51)
GABA neurons expressing GLU receptors 22,823,0.2,63.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,1316,0.179,88.0,101,2,1.98,2.73 (2.33-3.12),99,98.02,3.06 (2.70-3.42)
da like neurons 11,289,0.247,75.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,238,0.189,65.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,1653,0.104,30.0,297,7,2.36,2.87 (2.32-3.41),290,97.64,3.69 (3.48-3.90)
oligodendrocytes 20,348,0.167,62.0,33,3,9.09,5.16 (NA-NA),30,90.91,2.65 (2.18-3.12)
GABA like neurons 14,3052,0.225,97.0,125,2,1.6,5.16 (NA-NA),123,98.4,3.33 (3.01-3.66)
astrocytes 8,354,0.142,63.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303,0.102,76.0,276,42,15.22,2.10 (1.81-2.39),234,84.78,3.89 (3.66-4.12)
oligodendrocytes 10,2107,0.17,59.0,358,67,18.72,2.09 (1.81-2.36),291,81.28,4.43 (4.25-4.61)
connective tissue cells 21,101,0.214,22.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,1768,0.094,57.0,105,16,15.24,1.44 (1.10-1.79),89,84.76,3.56 (3.21-3.91)
oligodendrocytes 16,88,0.183,41.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.097,26.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,95,0.299,38.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56)
astrocytes 4,787,0.156,58.0,65,1,1.54,5.16 (NA-NA),64,98.46,2.92 (2.53-3.31)
oligodendrocytes 0,613,0.159,65.0,127,14,11.02,2.41 (1.64-3.18),113,88.98,3.19 (2.72-3.66)
microglia 1,1615,0.129,75.0,161,47,29.19,1.89 (1.62-2.16),114,70.81,4.01 (3.73-4.29)
oligodendrocytes 3,681,0.116,68.0,87,39,44.83,1.94 (1.68-2.20),48,55.17,3.16 (2.77-3.55)
oligodendrocytes 2,921,0.152,75.0,200,8,4.0,3.81 (2.16-5.45),192,96.0,3.61 (3.34-3.88)
