tipo_celular,module_size,FAM168A_MM,FAM168A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249,0.174,66.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,610,0.09,9.0,98,16,16.33,1.94 (1.49-2.40),82,83.67,3.38 (3.03-3.73)
astrocytes 5,156,0.08,3.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448,0.114,29.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,823,0.082,4.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,1247,0.111,32.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853,0.239,92.0,133,10,7.52,1.37 (0.99-1.74),123,92.48,3.44 (3.12-3.76)
GABA neurons expressing GABA receptors 13,288,0.156,43.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80)
endothelial cells 9,450,0.167,36.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,250,0.201,60.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,1300,0.309,90.0,306,6,1.96,1.13 (0.58-1.68),300,98.04,5.21 (4.96-5.46)
astrocytes 8,1266,0.124,79.0,66,3,4.55,1.38 (-0.18-2.94),63,95.45,3.33 (2.91-3.75)
oligodendrocyte progenitor cells 12,153,0.487,85.0,27,0,0.0,NA,27,100.0,4.76 (3.76-5.76)
oligodendrocytes 10,2107,0.211,72.0,358,29,8.1,2.17 (1.73-2.60),329,91.9,4.07 (3.87-4.26)
connective tissue cells 21,84,0.204,13.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,268,0.116,60.0,10,1,10.0,1.92 (NA-NA),9,90.0,3.94 (2.07-5.81)
oligodendrocytes 16,104,0.168,15.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,553,0.112,37.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,229,0.264,39.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,201,0.188,64.0,18,1,5.56,2.46 (NA-NA),17,94.44,4.68 (3.78-5.58)
oligodendrocytes 0,1186,0.125,22.0,300,5,1.67,3.82 (2.95-4.69),295,98.33,3.79 (3.58-4.00)
microglia 1,315,0.141,35.0,144,1,0.69,1.62 (NA-NA),143,99.31,4.48 (4.18-4.79)
oligodendrocytes 3,854,0.111,73.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804,0.171,70.0,84,2,2.38,0.51 (-0.09-1.11),82,97.62,2.76 (2.42-3.09)
