tipo_celular,module_size,ATP6V0B_MM,ATP6V0B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.223,51.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,282,0.217,71.0,241,32,13.28,4.39 (3.83-4.96),209,86.72,4.00 (3.72-4.28)
astrocytes 5,228,0.228,72.0,266,89,33.46,3.61 (3.27-3.96),177,66.54,4.46 (4.21-4.71)
oligodendrocyte progenitor cells 7,628,0.282,88.0,164,24,14.63,4.27 (3.71-4.83),140,85.37,4.04 (3.66-4.42)
GABA neurons expressing GLU receptors 22,487,0.513,100.0,73,1,1.37,2.68 (NA-NA),72,98.63,2.76 (2.37-3.15)
GLU like neurons 17,1316,0.13,56.0,101,11,10.89,4.96 (4.01-5.92),90,89.11,2.87 (2.52-3.21)
da like neurons 11,1220,0.452,96.0,410,64,15.61,3.93 (3.54-4.31),346,84.39,4.33 (4.11-4.54)
GABA neurons expressing GABA receptors 13,417,0.224,82.0,213,31,14.55,2.36 (1.83-2.89),182,85.45,4.09 (3.84-4.33)
endothelial cells 9,916,0.26,63.0,302,12,3.97,2.84 (2.01-3.66),290,96.03,4.05 (3.82-4.28)
oligodendrocytes 20,938,0.227,87.0,169,17,10.06,3.02 (2.38-3.66),152,89.94,3.54 (3.31-3.78)
GABA like neurons 14,2402,0.764,100.0,455,54,11.87,3.51 (2.98-4.04),401,88.13,4.49 (4.29-4.68)
astrocytes 8,520,0.288,85.0,288,65,22.57,4.07 (3.67-4.47),223,77.43,4.21 (3.98-4.44)
oligodendrocyte progenitor cells 12,1049,0.254,89.0,235,19,8.09,3.84 (3.47-4.21),216,91.91,3.82 (3.57-4.08)
oligodendrocytes 10,806,0.349,85.0,261,55,21.07,4.14 (3.79-4.50),206,78.93,4.44 (4.14-4.73)
connective tissue cells 21,301,0.32,35.0,158,11,6.96,3.42 (2.25-4.59),147,93.04,4.34 (3.95-4.72)
astrocytes 15,367,0.215,88.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,313,0.26,64.0,291,83,28.52,3.98 (3.69-4.28),208,71.48,4.50 (4.20-4.80)
da neurons 6,409,0.332,97.0,235,8,3.4,4.15 (2.51-5.78),227,96.6,3.97 (3.71-4.22)
astrocytes microglia 23,137,0.294,28.0,188,17,9.04,3.01 (1.99-4.03),171,90.96,4.51 (4.16-4.86)
astrocytes 4,157,0.194,58.0,178,53,29.78,3.56 (3.02-4.10),125,70.22,4.45 (4.16-4.73)
oligodendrocytes 0,546,0.291,88.0,252,36,14.29,2.87 (2.32-3.43),216,85.71,4.37 (4.11-4.63)
microglia 1,406,0.272,65.0,278,11,3.96,4.23 (3.42-5.04),267,96.04,4.37 (4.09-4.65)
oligodendrocytes 3,457,0.217,84.0,345,70,20.29,4.22 (3.88-4.56),275,79.71,4.29 (4.04-4.55)
oligodendrocytes 2,526,0.488,92.0,213,6,2.82,4.28 (3.28-5.27),207,97.18,3.97 (3.69-4.25)
