tipo_celular,module_size,ERBB4_MM,ERBB4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.707,99.0,15,6,40.0,5.13 (4.55-5.70),9,60.0,6.17 (5.21-7.14)
T cells 18,349,0.495,92.0,68,16,23.53,3.06 (2.16-3.96),52,76.47,4.90 (4.28-5.52)
astrocytes 5,222,0.197,46.0,98,13,13.27,4.17 (3.21-5.12),85,86.73,4.68 (4.23-5.13)
oligodendrocyte progenitor cells 7,200,0.076,8.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,599,0.288,82.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08)
GLU like neurons 17,685,0.34,94.0,135,45,33.33,2.71 (2.29-3.13),90,66.67,3.49 (3.08-3.90)
da like neurons 11,191,0.457,86.0,93,21,22.58,4.93 (4.18-5.67),72,77.42,5.96 (5.50-6.41)
GABA neurons expressing GABA receptors 13,288,0.38,91.0,93,30,32.26,4.40 (3.68-5.12),63,67.74,5.70 (5.06-6.33)
endothelial cells 9,450,0.546,90.0,74,9,12.16,5.04 (4.07-6.00),65,87.84,5.55 (4.91-6.18)
oligodendrocytes 20,676,0.521,80.0,110,27,24.55,3.87 (3.24-4.51),83,75.45,5.55 (5.02-6.08)
GABA like neurons 14,1300,0.144,21.0,306,68,22.22,3.89 (3.45-4.33),238,77.78,5.66 (5.38-5.94)
astrocytes 8,140,0.059,25.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,103,0.098,14.0,9,3,33.33,5.41 (5.28-5.54),6,66.67,2.24 (0.06-4.41)
oligodendrocytes 10,204,0.416,41.0,92,7,7.61,4.47 (2.84-6.10),85,92.39,5.82 (5.34-6.31)
connective tissue cells 21,250,0.715,94.0,117,24,20.51,3.90 (3.25-4.55),93,79.49,5.89 (5.47-6.31)
astrocytes 15,418,0.092,48.0,54,6,11.11,3.80 (2.52-5.09),48,88.89,3.66 (3.19-4.14)
oligodendrocytes 16,61,0.156,25.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398,0.23,77.0,138,46,33.33,3.57 (3.10-4.04),92,66.67,5.64 (5.21-6.07)
astrocytes microglia 23,166,0.475,97.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,220,0.217,79.0,63,24,38.1,4.28 (3.61-4.95),39,61.9,5.98 (5.20-6.75)
oligodendrocytes 0,309,0.285,97.0,30,2,6.67,6.09 (6.09-6.09),28,93.33,6.09 (5.42-6.75)
microglia 1,127,0.497,93.0,24,7,29.17,4.57 (3.29-5.84),17,70.83,5.44 (4.61-6.28)
oligodendrocytes 3,1003,0.283,99.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,348,0.575,100.0,114,32,28.07,4.48 (3.96-4.99),82,71.93,5.47 (4.92-6.02)
