tipo_celular,module_size,VPS13D_MM,VPS13D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125,0.182,34.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,624,0.163,59.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,932,0.083,12.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.144,64.0,353,30,8.5,3.42 (2.74-4.10),323,91.5,3.94 (3.75-4.14)
GABA neurons expressing GLU receptors 22,203,0.171,14.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1247,0.184,78.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,853,0.205,84.0,133,10,7.52,1.96 (1.04-2.88),123,92.48,3.38 (3.06-3.70)
GABA neurons expressing GABA receptors 13,288,0.134,28.0,93,4,4.3,1.11 (0.68-1.54),89,95.7,5.39 (4.92-5.85)
endothelial cells 9,1653,0.208,92.0,297,1,0.34,4.81 (NA-NA),296,99.66,3.67 (3.46-3.87)
oligodendrocytes 20,348,0.133,51.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,1300,0.311,91.0,306,12,3.92,1.81 (1.07-2.55),294,96.08,5.30 (5.05-5.55)
astrocytes 8,1266,0.126,80.0,66,8,12.12,1.23 (0.68-1.78),58,87.88,3.55 (3.14-3.97)
oligodendrocyte progenitor cells 12,3303,0.125,92.0,276,22,7.97,3.10 (2.47-3.74),254,92.03,3.59 (3.36-3.82)
oligodendrocytes 10,2107,0.163,56.0,358,36,10.06,3.19 (2.57-3.82),322,89.94,3.96 (3.76-4.16)
connective tissue cells 21,126,0.199,8.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79)
astrocytes 15,1401,0.151,89.0,96,6,6.25,2.27 (1.69-2.85),90,93.75,3.72 (3.25-4.20)
oligodendrocytes 16,88,0.241,75.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.144,61.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,112,0.179,5.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,201,0.143,25.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42)
oligodendrocytes 0,1186,0.158,71.0,300,2,0.67,5.17 (-0.92-11.27),298,99.33,3.78 (3.58-3.98)
microglia 1,480,0.091,3.0,163,2,1.23,5.17 (4.74-5.61),161,98.77,3.69 (3.42-3.95)
oligodendrocytes 3,1003,0.077,29.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,407,0.157,54.0,122,17,13.93,3.11 (2.15-4.07),105,86.07,3.38 (2.96-3.80)
