tipo_celular,module_size,LAMP2_MM,LAMP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.39,87.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349,0.273,74.0,68,12,17.65,2.20 (1.46-2.95),56,82.35,4.95 (4.40-5.51)
astrocytes 5,165,0.235,67.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229,0.231,67.0,45,1,2.22,5.19 (NA-NA),44,97.78,5.00 (4.36-5.63)
GABA neurons expressing GLU receptors 22,567,0.436,93.0,16,4,25.0,2.47 (2.02-2.92),12,75.0,1.77 (0.87-2.68)
GLU like neurons 17,637,0.311,83.0,91,19,20.88,2.16 (1.32-3.00),72,79.12,5.41 (4.97-5.85)
da like neurons 11,408,0.444,88.0,25,9,36.0,1.70 (0.64-2.75),16,64.0,6.56 (5.46-7.65)
GABA neurons expressing GABA receptors 13,288,0.229,70.0,93,9,9.68,2.31 (1.38-3.24),84,90.32,5.56 (5.09-6.03)
endothelial cells 9,450,0.371,76.0,74,4,5.41,3.95 (2.24-5.66),70,94.59,5.60 (5.03-6.17)
oligodendrocytes 20,233,0.069,7.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052,0.081,9.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771,0.468,91.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708,0.35,91.0,25,5,20.0,4.40 (1.71-7.08),20,80.0,2.39 (1.49-3.29)
oligodendrocytes 10,204,0.365,31.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28)
connective tissue cells 21,250,0.391,69.0,117,10,8.55,2.64 (1.79-3.49),107,91.45,5.66 (5.28-6.03)
astrocytes 15,458,0.17,78.0,36,4,11.11,4.05 (2.73-5.37),32,88.89,3.74 (2.55-4.93)
oligodendrocytes 16,287,0.274,42.0,105,10,9.52,1.83 (1.25-2.40),95,90.48,5.55 (5.17-5.93)
da neurons 6,398,0.225,76.0,138,22,15.94,2.59 (2.02-3.15),116,84.06,5.31 (4.95-5.68)
astrocytes microglia 23,166,0.23,24.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,102,0.205,55.0,42,1,2.38,5.19 (NA-NA),41,97.62,5.70 (4.96-6.44)
oligodendrocytes 0,613,0.298,99.0,127,12,9.45,3.20 (2.71-3.68),115,90.55,3.02 (2.54-3.50)
microglia 1,127,0.216,61.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12)
oligodendrocytes 3,127,0.399,83.0,45,5,11.11,1.91 (1.09-2.72),40,88.89,4.75 (3.88-5.63)
oligodendrocytes 2,528,0.392,94.0,175,41,23.43,4.02 (3.53-4.51),134,76.57,4.51 (4.07-4.95)
